k,gamma_perp,gamma_perp_rvalue,gamma_perp_npoints,gamma_parallel,gamma_parallel_rvalue,gamma_parallel_npoints,sigma_m,final_energy_perp,final_energy_parallel
0.16306792886818355,0.09005590745464569,0.8652170376508728,1034,0.0569298763731833,0.7887423133645642,1154,0.16585354183956455,4.813981762436129e-05,6.016064835604522e-08
0.21996722751835798,0.08558693875347834,0.8606428492889052,1054,0.0633102504908607,0.8045773708356804,1134,-0.014756196831430205,2.3807061131380717e-05,8.774509309180444e-08
0.3197751881353891,0.06380225054020057,0.7783972342331179,1281,0.06479709924407641,0.8464217923298009,1104,0.15286879053896746,0.00011033896782828042,2.7081944671929174e-08
0.34462130252320416,0.0846525917587359,0.857092304012951,1070,0.05280582990900936,0.8153634368434606,1107,-0.0001457739266641203,5.5208647255840725e-05,1.0034907324663532e-07
0.431354356748852,0.054676881061191944,0.8583922839242935,1230,0.04348214072247217,0.8148440850524452,1215,0.01683413364361777,7.0372554934730516e-06,1.2909219639776807e-07
0.46487002677928196,0.07520577115957479,0.8461800301259327,1081,0.03938588714929948,0.6842727514956445,1180,0.2175113416577765,3.0098457780532986e-05,1.7026077533394274e-08
0.5009898205887205,0.0716137820113867,0.8372917620046638,1079,0.03712854006958738,0.7061223275777827,1192,-0.04245074794770662,1.67853515054999e-05,1.2879447144987974e-07
0.5818668489296219,0.039978055547816124,0.7706881837422028,1241,0.0349190678400449,0.7500330216433707,1208,0.09504070709146148,4.357935091299937e-06,1.2410618352023354e-07
0.6270771429842749,0.06955397421357115,0.8684757727724197,996,0.03237089810557024,0.702519496523877,1178,0.14695966964016563,8.275259033997239e-07,3.1262236568039394e-08
0.6758002178276394,0.04245443081020498,0.8830475945094253,1212,0.03782070656168211,0.8217941300525247,1195,0.0194857598496417,4.672017747568225e-07,1.5130857302576993e-08
0.7283090119381656,0.032216098465922674,0.7264524971524057,1269,0.03227314421976808,0.7883870371250702,1130,0.18073499869170548,3.7723334524555115e-07,1.2139174467793503e-08
0.784897670757532,0.046682196824288556,0.7522355184105514,1037,0.03092299179307659,0.8199715157049703,1124,-0.030275474253725582,1.3446042305032165e-07,5.721026084888627e-09
0.8458831944439866,0.036681785404599924,0.8606254984616512,1144,0.031527772939151585,0.8358578652416865,1122,0.06057301278255757,6.882782725486578e-08,2.4793040735786514e-09
0.911607213653968,0.045383919065483905,0.7978745356289929,1107,0.022703134901614682,0.7506269606541609,1250,0.3213922212149779,2.5922196777994344e-08,2.1071969252274322e-09
0.9824379032996393,0.03847297250407777,0.8046915063390101,1098,0.028674549105986255,0.8114615986259033,1093,-0.12215981079727721,1.698694186713385e-08,2.737222384252385e-09
1.0587720450028824,0.0194482094713129,0.622827543088026,1253,0.019800245141462985,0.6541217881512965,1218,0.017989238245546012,2.3034988046784916e-09,7.733675076976892e-10
1.1410372497992745,0.03334061921143844,0.7026796127762617,1149,0.01842758872410833,0.755369624292417,1191,0.15601584374547184,7.317258075498212e-09,8.969144444594596e-10
1.229694353543257,0.016454665523724987,0.46286255179557245,1238,0.012405669247549203,0.6445962594175773,1180,0.16704196539254382,4.332787705170742e-09,4.744990053595663e-10
1.3252399984331606,0.010606403976347538,0.4432018245452251,1243,0.007401686404764383,0.5001176483923977,1226,0.09492669834933677,1.6290857981723396e-09,1.821727220309316e-10
1.428209415117351,0.009648288551973014,0.3197613697424287,1216,0.005002429112387538,0.45039975839378127,1190,0.14333391032027656,1.6017055635367955e-09,1.191836885377615e-10
1.5391794209663852,0.004905664186591689,0.20360784604156484,1203,0.003739062932987513,0.4346610800376518,1170,0.10161996274075337,9.826463490559406e-10,7.871184872941604e-11
1.658771651307003,0.001725154658057497,0.15202594100119055,1198,0.00224489606948115,0.32819197564215064,1193,0.029401754486355503,8.862326855447328e-10,1.1988536288726824e-10
1.7876560417187732,0.0008826461378634831,0.058152780408475234,1201,0.002401608997605316,0.3725517808039273,1176,0.06637313450678535,6.546643674214259e-10,1.593075329837264e-10
1.9265545809006437,0.0006920991073025388,0.05777024267720789,1193,0.0026948666701883564,0.4198537750811692,1171,0.0220389562026356,8.0355496209902e-10,2.5259043804996156e-10
