omega_over_omega_ci,phase_velocity_over_va,k_parallel_d_i,ridge_rank,spectral_power
0.11067967634898575,0.7046087036300889,0.15707963267948966,1,2021082662026.8494
0.1660195145234786,0.5284565277225666,0.3141592653589793,1,5106623664883.935
0.2213593526979715,0.7046087036300889,0.3141592653589793,1,8130053806833.359
0.2766991908724643,0.8807608795376108,0.3141592653589793,1,9367254744284.432
0.3320390290469572,1.0569130554451331,0.3141592653589793,1,7882158644479.106
0.3873788672214501,1.2330652313526553,0.3141592653589793,1,5022093854131.311
0.442718705395943,1.4092174072601777,0.3141592653589793,1,2762598456226.321
0.49805854357043583,1.5853695831676997,0.3141592653589793,1,1671065669273.147
0.5533983817449286,1.174347839383481,0.471238898038469,1,1249791031176.8025
0.6087382199194216,1.2917826233218292,0.471238898038469,1,800487710083.9108
0.6640780580939144,1.4092174072601773,0.471238898038469,1,423351052555.5989
0.7194178962684072,1.5266521911985254,0.471238898038469,1,223296185768.8445
0.7747577344429002,1.6440869751368736,0.471238898038469,1,146247626461.49045
0.830097572617393,1.3211413193064165,0.6283185307179586,1,109206772193.79213
0.885437410791886,1.4092174072601777,0.6283185307179586,1,72663272345.88062
0.9407772489663788,1.4972934952139387,0.6283185307179586,1,43276958285.14381
0.9961170871408717,1.5853695831676997,0.6283185307179586,1,27428529430.357388
1.0514569253153645,1.673445671121461,0.6283185307179586,1,20187521611.81113
1.1067967634898572,1.7615217590752217,0.6283185307179586,1,14817626504.445955
1.1621366016643502,1.8495978470289829,0.6283185307179586,1,9531684182.645927
0.11067967634898575,0.7046087036300889,0.15707963267948966,2,2021082662026.8494
0.1660195145234786,0.5284565277225666,0.3141592653589793,2,5106623664883.935
0.2213593526979715,0.7046087036300889,0.3141592653589793,2,8130053806833.359
0.2766991908724643,0.8807608795376108,0.3141592653589793,2,9367254744284.432
0.3320390290469572,1.0569130554451331,0.3141592653589793,2,7882158644479.106
0.3873788672214501,1.2330652313526553,0.3141592653589793,2,5022093854131.311
0.442718705395943,1.4092174072601777,0.3141592653589793,2,2762598456226.321
0.49805854357043583,1.5853695831676997,0.3141592653589793,2,1671065669273.147
0.5533983817449286,1.174347839383481,0.471238898038469,2,1249791031176.8025
0.6087382199194216,1.2917826233218292,0.471238898038469,2,800487710083.9108
0.6640780580939144,1.4092174072601773,0.471238898038469,2,423351052555.5989
0.7194178962684072,1.5266521911985254,0.471238898038469,2,223296185768.8445
0.7747577344429002,1.6440869751368736,0.471238898038469,2,146247626461.49045
0.830097572617393,1.3211413193064165,0.6283185307179586,2,109206772193.79213
0.885437410791886,1.4092174072601777,0.6283185307179586,2,72663272345.88062
0.9407772489663788,1.4972934952139387,0.6283185307179586,2,43276958285.14381
0.9961170871408717,1.5853695831676997,0.6283185307179586,2,27428529430.357388
1.0514569253153645,1.673445671121461,0.6283185307179586,2,20187521611.81113
1.1067967634898572,1.7615217590752217,0.6283185307179586,2,14817626504.445955
1.1621366016643502,1.8495978470289829,0.6283185307179586,2,9531684182.645927
