step,omega_ci_t,E_kin_bulk,E_kin_thermal,E_internal_i,E_internal_e,E_B,E_total,energy_error
0,0.0,7.3270864372730275e-09,0.007488231223194128,0.007488231223194125,nan,2.7755575408833756e-19,0.007488238550280565,0.0
30000,2.783203125,5.646361545618897e-08,0.0066009704649138065,0.006600970464913807,nan,2.32342656539009e-06,0.0066033503550946525,-0.1181704067310674
60000,5.56640625,1.636813788799714e-08,0.006133249347432857,0.006133249347432856,nan,6.000666215390872e-06,0.006139266381786136,-0.18014545869988172
