step,omega_ci_t,kappa_fit,maxwellian_sigma,kappa_sigma,error_maxwellian,error_kappa,error_tail_maxwellian,error_tail_kappa,suprathermal_fraction
0,0.0,79.99999999999949,0.007907357689220585,0.007945703981922864,0.026364844847122728,0.02919274594359798,nan,nan,0.0011666513510382
10000,0.927734375,45.88988000234798,0.007590415409582853,0.0076551771466089194,0.025980112981885694,0.027605322035791535,nan,nan,0.0010615328534403679
20000,1.85546875,47.33865522155652,0.007309914406477264,0.007370364962293513,0.02439955396660039,0.019187363587666883,nan,nan,0.0009763280462235311
30000,2.783203125,79.99999999999999,0.007055185684453782,0.007089379780353252,0.028148845735360407,0.0256281000121691,nan,nan,0.0007309503552898038
40000,3.7109375,79.99999999999999,0.006763057455463763,0.006795898509276009,0.02711625353714893,0.02945753825367072,nan,nan,0.0005684934523166108
50000,4.638671875,79.99999999999434,0.0064606051170012484,0.00649200534355952,0.030008125693636027,0.029063624147529662,0.12505465720160147,0.08821705400240558,0.0005204621704073217
60000,5.56640625,79.99999999987216,0.006205769566563783,0.00623588114521547,0.029577312722796043,0.027229002153356677,0.1393977887245337,0.10253916883158477,0.0004245196120050942
70000,6.494140625,79.99999999999999,0.005957979674115408,0.005986908983083029,0.02854381948545076,0.02878964263949952,0.10506758769498127,0.11898085531478043,0.00027581024255312345
