step,omega_ci_t,T_parallel_i,T_perp_i,A_i,R_i,beta_parallel_i,ion_count,T_parallel_e,T_perp_e,A_e,q_parallel_particle,q_perp_particle,E_kin_bulk,E_kin_thermal
0,0.0,0.012482052288061185,0.0012472050791635335,0.09991987298086057,10.008019127401692,9.985641830448946,250289,0.0012471504455609953,0.0012493516772062365,1.0017650089073664,-3.9797079589449864e-07,2.5349791493980756e-05,7.3270864372730275e-09,0.007488231223194128
10000,0.927734375,0.011629798621333396,0.0013265424425326897,0.11406409394736339,8.767000774682568,9.303838897066715,249639,0.001629054778539598,0.001584973629161541,0.9729406586207159,-1.4712899757940527e-07,2.5082264061363112e-05,2.4497385318523856e-08,0.0071414417531993875
20000,1.85546875,0.010808010452868295,0.0014393129959484146,0.13317094780995894,7.509145323701126,8.646408362294634,249916,0.0020355017577768806,0.001990552260249111,0.9779172396407743,-1.8120076164523954e-07,2.520948747498214e-05,1.1318214147409426e-07,0.00684331822238256
30000,2.783203125,0.010013184930516146,0.001594377999655734,0.15922785913967427,6.280308015212355,8.010547944412915,250359,0.002517985298639576,0.002454125542167696,0.9746385507070345,4.407679647063068e-07,2.579618296394096e-05,5.646361545618897e-08,0.0066009704649138065
40000,3.7109375,0.009154828974063134,0.0017846298961729163,0.1949386385293503,5.129819350048647,7.323863179250506,249783,0.00303278984794678,0.0029826940590953637,0.9834819452177567,-3.2151047383149816e-09,2.670870668548873e-05,3.6622112678603355e-08,0.006362044383204484
50000,4.638671875,0.008380237028300307,0.0019999608705816053,0.238652064831541,4.190200494204301,6.704189622640245,249778,0.0036750428654260857,0.003605398150005764,0.9810492780708703,1.8951083010052497e-07,2.8084381385667724e-05,1.4532040670041132e-08,0.006190079384731758
60000,5.56640625,0.007772400320257457,0.002247049187304127,0.2891062084704477,3.458936441699485,6.217920256205964,249694,0.004380767643636415,0.004322731283572077,0.9867520113401489,1.1369883470138031e-07,3.0125069773674706e-05,1.636813788799714e-08,0.006133249347432857
70000,6.494140625,0.007147392867965029,0.002525803804108403,0.3533881305768404,2.8297498231411624,5.717914294372021,250172,0.005287744162816514,0.005192090051880558,0.9819102233408724,-4.646779803649051e-08,3.252055054947219e-05,8.290350394794763e-09,0.0060995002380909175
