step,omega_ci_t,plane,axis0,axis1,delta_axis0,delta_axis1,peak_k,peak_power,power_law_slope,power_law_rvalue
0,0.0,yz,z,y,0.0390625,0.0390625,nan,nan,nan,nan
18000,1.669921875,yz,z,y,0.0390625,0.0390625,76.74220059986257,1.6402088505183698e-07,0.16674592746320943,0.3987290872973108
36000,3.33984375,yz,z,y,0.0390625,0.0390625,69.65322285289413,2.4819735322310344e-07,0.14272749338218,0.3272875199076973
54000,5.009765625,yz,z,y,0.0390625,0.0390625,72.75465061719282,3.78896248840983e-07,0.1770206117511704,0.3677776085100035
72000,6.6796875,yz,z,y,0.0390625,0.0390625,69.65322285289413,5.55772777209402e-07,0.19990961360836842,0.3835549550407641
