step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
15000,1.3916015625,low_y_low_z,-1.4498454858697982e-09,5.326000896569817e-06,4.059855458930964e-07,4.059855458930964e-07
15000,1.3916015625,low_y_high_z,-3.133618907103514e-08,5.292775217805252e-06,4.044927899877321e-07,4.044927899877321e-07
15000,1.3916015625,high_y_low_z,-1.6875503243799685e-08,5.323060486583086e-06,4.042036617849388e-07,4.042036617849388e-07
15000,1.3916015625,high_y_high_z,-4.3978716310669915e-08,5.320836946247866e-06,4.0485351551764266e-07,4.0485351551764266e-07
18000,1.669921875,low_y_low_z,-1.3242895599707729e-08,5.151161101968758e-06,4.1986218682780873e-07,4.1986218682780873e-07
18000,1.669921875,low_y_high_z,-2.762292415850288e-08,5.133728885197901e-06,4.2088887597667335e-07,4.2088887597667335e-07
18000,1.669921875,high_y_low_z,-1.437590623599849e-08,5.161151032276234e-06,4.198744971765727e-07,4.198744971765727e-07
18000,1.669921875,high_y_high_z,-2.829537464205216e-08,5.1396226407226485e-06,4.2040574451167806e-07,4.2040574451167806e-07
21000,1.9482421875,low_y_low_z,-4.309602710859427e-09,4.955148896504046e-06,4.40277285041601e-07,4.40277285041601e-07
21000,1.9482421875,low_y_high_z,1.4844449959884435e-09,4.958216655235509e-06,4.395005147471046e-07,4.395005147471046e-07
21000,1.9482421875,high_y_low_z,-1.7621530560584705e-08,4.937900904153897e-06,4.4162709636146895e-07,4.4162709636146895e-07
21000,1.9482421875,high_y_high_z,-5.699563898208564e-08,4.9729203484957895e-06,4.407565608285731e-07,4.407565608285731e-07
24000,2.2265625,low_y_low_z,-1.7593920041383402e-08,4.794708216968083e-06,4.610381139583514e-07,4.610381139583514e-07
24000,2.2265625,low_y_high_z,-1.6210836740195348e-08,4.769818390513314e-06,4.6095078611219476e-07,4.6095078611219476e-07
24000,2.2265625,high_y_low_z,-7.249786311367488e-10,4.748019071976846e-06,4.5872130761292103e-07,4.5872130761292103e-07
24000,2.2265625,high_y_high_z,-4.5544785684917276e-08,4.7827370165301244e-06,4.6034188059801606e-07,4.6034188059801606e-07
