case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Kappa 3,ion,5000,0.6597222222222222,1.9994593858718872,0.5001351900748604,2.0022926330566406,1.9267278909683228,2.0797839164733887,4.98492431640625,4.96330451965332,4.777102470397949,5.166361331939697,1.2006048510523675,0.7988545348195197,331776
Mirror Moderate Bi-Kappa 3,ion,5500,0.7256944444444444,1.9996134042739868,0.5000966676171471,2.002448081970215,1.9268327951431274,2.0802009105682373,4.98392915725708,4.963959217071533,4.775369167327881,5.166935920715332,1.2006449065480604,0.7989684977259264,331776
Mirror Moderate Bi-Kappa 3,ion,6000,0.7916666666666667,1.999766230583191,0.5000584491860184,2.0023651123046875,1.9272994995117188,2.0802440643310547,4.982956886291504,4.961772441864014,4.774105072021484,5.16592264175415,1.2006840562379892,0.7990821743452017,331776
Mirror Moderate Bi-Kappa 3,ion,6500,0.857638888888889,1.9999308586120605,0.500017285944572,2.002506971359253,1.927487850189209,2.080099105834961,4.981950283050537,4.961179733276367,4.773125648498535,5.164172172546387,1.2007246044590558,0.7992062541530047,331776
Mirror Moderate Bi-Kappa 3,ion,7000,0.9236111111111112,2.000048875808716,0.49998778134641936,2.0031566619873047,1.9277520179748535,2.0803093910217285,4.9810662269592285,4.959825038909912,4.772151947021484,5.163218021392822,1.2007602297250455,0.7992886460836703,331776
Mirror Moderate Bi-Kappa 3,ion,7500,0.9895833333333335,2.000227928161621,0.4999430244527606,2.002997875213623,1.9278732538223267,2.0802180767059326,4.980030059814453,4.959211826324463,4.77094841003418,5.1633687019348145,1.2008020007889788,0.7994259273726423,331776
Mirror Moderate Bi-Kappa 3,ion,8000,1.0555555555555556,2.000375509262085,0.49990614030707076,2.0034360885620117,1.9276307821273804,2.080287456512451,4.979086875915527,4.957887649536133,4.770570278167725,5.162281036376953,1.2008400385293792,0.7995354707327058,331776
Mirror Moderate Bi-Kappa 3,ion,8500,1.121527777777778,2.000494956970215,0.49987629137267,2.0031914710998535,1.927703619003296,2.0808792114257812,4.97819185256958,4.957330703735352,4.769186019897461,5.161439418792725,1.2008761473272334,0.7996188096429815,331776
Mirror Moderate Bi-Kappa 3,ion,9000,1.1875,2.0006422996520996,0.49983947663902456,2.0036885738372803,1.9284121990203857,2.0807266235351562,4.977240562438965,4.9564971923828125,4.768132209777832,5.160534858703613,1.2009145403874102,0.7997277592646894,331776
Mirror Moderate Bi-Kappa 3,ion,9500,1.2534722222222223,2.0008044242858887,0.49979897478331103,2.003692388534546,1.9281967878341675,2.0812180042266846,4.976272106170654,4.955876350402832,4.767348289489746,5.160111904144287,1.2009536413332351,0.7998507829526535,331776
