k,gamma_perp,gamma_perp_rvalue,gamma_perp_npoints,gamma_parallel,gamma_parallel_rvalue,gamma_parallel_npoints,sigma_m,final_energy_perp,final_energy_parallel
0.34462269856015243,0.303727607930943,0.9926523642041041,18,0.5724859311728094,0.9809520128802571,16,-0.20478392305038098,2.2947091775405653e-09,6.857410438626767e-10
0.41469795252368274,0.2802163430530181,0.9654909061806958,15,0.5470408723577161,0.9574474979819848,12,-0.3560426480209618,1.2532933551696523e-09,4.4320467250398966e-10
0.6004929537827834,0.22117529523378163,0.9510392808477102,18,0.3226535139022644,0.9245893034037926,18,0.0392361159551908,4.4749053854216225e-09,7.992878829806578e-10
0.7225966237251571,0.2636934545809945,0.9836500102878744,18,0.35302594046602576,0.7684294808814992,13,-0.3419287589322914,6.028208897657964e-09,9.961800297668348e-10
0.8695287385634709,0.28142245276807787,0.9817146437968515,16,0.2981438274116914,0.7657936729416631,15,-0.1157186976427148,3.9002390865162135e-09,9.459524177058986e-10
1.0463378908276764,0.22249561038566407,0.9587481579283814,17,0.287822267684644,0.919026546339378,15,-0.18639752301974688,1.466270508036274e-08,2.2291806139711783e-09
1.2590992490834092,0.16502033505846195,0.8700528987505634,18,0.18990326334422733,0.8356712187348531,18,0.0236510970012193,6.538494173881207e-09,1.5075022024647512e-09
1.5151233009332898,0.07549320564032515,0.726345674538348,18,0.02947555976130287,0.2957546777790752,20,0.039814111939665914,1.1652070947463334e-08,2.5090951105297694e-09
1.823207041622908,0.030121850574177583,0.4731416090789204,20,0.0020630259076102053,0.015774390006217658,19,0.008027342323668099,1.83389216531329e-08,3.8625183823444865e-09
