omega_over_omega_ci,phase_velocity_over_va,ridge_rank,spectral_power
0.17637011388574278,0.571875,1,6100.171287093769
0.35274022777148556,1.0989583333333335,1,14848.329421666771
0.35274022777148556,0.571875,2,4639.6607164195475
0.5291103416572283,1.6739583333333334,1,27753.80562266004
0.5291103416572283,0.859375,2,8602.27426139911
0.7054804555429711,2.2489583333333334,1,44613.04025691841
0.7054804555429711,1.0989583333333335,2,13736.874620760107
0.8818505694287138,2.8239583333333336,1,63748.35019303196
0.8818505694287138,1.3864583333333336,2,19512.656689607575
1.0582206833144565,3.3510416666666667,1,82870.42845824955
1.0582206833144565,1.6739583333333334,2,25194.50999600042
1.2345907972001995,3.926041666666667,1,100075.28533642199
1.2345907972001995,1.9614583333333333,2,30142.34427727202
1.4109609110859422,4.5010416666666675,1,114483.8692710759
1.4109609110859422,2.2489583333333334,2,34014.44644845221
1.587331024971685,5.076041666666667,1,126295.6925633387
1.587331024971685,2.5364583333333335,2,36809.18271003373
1.7637011388574275,5.603125,1,136371.15846540892
1.7637011388574275,2.8239583333333336,2,38775.119039544756
1.9400712527431705,6.178125,1,145673.8118304136
1.9400712527431705,3.1114583333333337,2,40275.00152321817
2.116441366628913,6.753125000000001,1,154893.14167380452
2.116441366628913,3.3510416666666667,2,41679.74338853376
2.292811480514656,7.280208333333334,1,164381.12052258587
2.292811480514656,3.638541666666667,2,43316.37623901374
2.469181594400399,7.855208333333334,1,174315.99469689262
2.469181594400399,3.926041666666667,2,45444.63898375754
2.645551708286142,8.430208333333333,1,184890.1854886157
2.645551708286142,4.213541666666667,2,48225.089021587395
2.8219218221718845,9.005208333333334,1,196353.30502998855
2.8219218221718845,4.5010416666666675,2,51668.38513940055
2.998291936057627,9.532291666666667,1,208876.34150639377
2.998291936057627,4.788541666666667,2,55592.689205442046
3.17466204994337,10.107291666666669,1,222340.16726398046
3.17466204994337,5.076041666666667,2,59631.31550657874
3.3510321638291125,10.682291666666668,1,236208.44374354207
3.3510321638291125,5.315625000000001,2,63313.00962001651
3.527402277714855,11.209375000000001,1,249597.99728747932
3.527402277714855,5.603125,2,66196.73943161174
3.7037723916005985,11.784375,1,261545.56955715377
3.7037723916005985,5.890625,2,68009.89472796983
3.880142505486341,6.178125,1,68734.4899295371
3.880142505486341,4.117708333333334,2,32880.13712662527
4.056512619372084,6.465625000000001,1,68610.90465893605
4.056512619372084,4.309375,2,33447.530714406166
4.232882733257826,6.753125000000001,1,68065.26586576218
4.232882733257826,4.5010416666666675,2,33806.63945512849
4.409252847143569,7.040625,1,67593.31945574506
4.409252847143569,4.692708333333334,2,34035.8735105403
4.585622961029312,7.280208333333334,1,67639.71228022268
4.585622961029312,4.884375,2,34244.1890540235
4.761993074915055,7.567708333333334,1,68501.29098111548
4.761993074915055,5.076041666666667,2,34558.524009464556
4.938363188800798,7.855208333333334,1,70268.87709789697
4.938363188800798,5.2197916666666675,2,35100.24700118223
5.11473330268654,8.142708333333335,1,72813.51906714222
5.11473330268654,5.411458333333334,2,35953.4605538
5.291103416572284,8.430208333333333,1,75820.36761298307
5.291103416572284,5.603125,2,37134.668015220304
5.467473530458026,8.717708333333334,1,78868.93545169148
5.467473530458026,5.794791666666667,2,38576.70321217821
5.643843644343769,9.005208333333334,1,81546.91920580089
5.643843644343769,5.986458333333333,2,40137.03350769167
5.820213758229511,9.244791666666668,1,83568.66670663099
5.820213758229511,6.178125,2,41631.901274086646
5.996583872115254,9.532291666666667,1,84859.16886702835
5.996583872115254,6.369791666666668,2,42886.89651197284
6.172953986000997,9.819791666666667,1,85570.47634108752
6.172953986000997,6.561458333333334,2,43786.6319200603
6.34932409988674,10.107291666666669,1,86021.16360395763
6.34932409988674,6.753125000000001,2,44305.287253414455
6.525694213772483,10.394791666666666,1,86580.7345759049
6.525694213772483,6.944791666666667,2,44506.74345059242
6.702064327658225,10.682291666666668,1,87543.58892191824
6.702064327658225,7.088541666666668,2,44514.996735417226
6.878434441543969,10.969791666666667,1,89039.46840769798
6.878434441543969,7.280208333333334,2,44467.371430708474
7.05480455542971,11.209375000000001,1,91008.88533214125
7.05480455542971,7.471875000000001,2,44469.65882288653
7.231174669315454,11.496875000000001,1,93243.75544460828
7.231174669315454,7.663541666666667,2,44570.89886583842
7.407544783201197,11.784375,1,95469.90317752335
7.407544783201197,7.855208333333334,2,44766.659020932944
7.583914897086939,8.046875,1,45026.998483990086
7.583914897086939,6.034375000000001,2,32748.81396202391
7.760285010972682,8.238541666666666,1,45334.173900420894
7.760285010972682,6.178125,2,33324.98748374036
7.936655124858424,8.430208333333333,1,45710.532089707645
7.936655124858424,6.321875,2,33801.48667329803
8.113025238744168,8.621875,1,46221.44610665177
8.113025238744168,6.465625000000001,2,34180.87432783123
8.289395352629912,8.813541666666667,1,46950.120021703595
8.289395352629912,6.609375,2,34490.81601738374
8.465765466515652,9.005208333333334,1,47955.29417673568
8.465765466515652,6.753125000000001,2,34774.68354709813
8.642135580401396,9.148958333333333,1,49232.333579740516
8.642135580401396,6.896875,2,35074.085128379345
8.818505694287138,9.340625,1,50697.80363699916
8.818505694287138,7.040625,2,35411.0670587316
8.994875808172882,9.532291666666667,1,52207.31973784318
8.994875808172882,7.136458333333334,2,35779.64129280334
9.171245922058624,9.723958333333334,1,53601.41730097495
9.171245922058624,7.280208333333334,2,36152.95105569996
9.347616035944366,9.915625,1,54762.02605809909
9.347616035944366,7.423958333333333,2,36504.47148430924
9.52398614983011,10.107291666666669,1,55658.32766690888
9.52398614983011,7.567708333333334,2,36833.166224071814
9.700356263715854,10.298958333333335,1,56365.74081968036
9.700356263715854,7.711458333333335,2,37178.71359587158
9.876726377601596,10.490625000000001,1,57051.52824680801
9.876726377601596,7.855208333333334,2,37616.75422042262
10.053096491487338,10.682291666666668,1,57930.213958891865
10.053096491487338,7.998958333333334,2,38233.99277124964
10.22946660537308,10.873958333333334,1,59199.260475160205
10.22946660537308,8.142708333333335,2,39093.42481944477
10.405836719258824,11.017708333333335,1,60970.6986896109
10.405836719258824,8.286458333333332,2,40205.01276929316
10.582206833144568,11.209375000000001,1,63218.21673283682
10.582206833144568,8.430208333333333,2,41514.19932501571
10.75857694703031,11.401041666666668,1,65759.75750405132
10.75857694703031,8.573958333333334,2,42911.96852954943
10.934947060916052,11.592708333333334,1,68289.21786354724
10.934947060916052,8.717708333333334,2,44261.07502366803
11.111317174801794,11.784375,1,70455.64336417569
11.111317174801794,8.861458333333335,2,45428.31708791063
