case,distribution,instability,polarization,mode_index,kdi,kde,fit_t_start,fit_t_end,gamma_pic,gamma_pic_error,gamma_theory,relative_difference_pct,R2
F_S_bM_local,Bi-Maxwellian,firehose,plus,258,0.6283185307179586,nan,1.11328125,5.8447265625,0.5244473854417924,0.032819957465485765,nan,nan,0.9410345356027618
F_S_bM_local,Bi-Maxwellian,firehose,minus,258,0.6283185307179586,nan,1.11328125,5.8447265625,0.28517151006462393,0.025577390650388148,nan,nan,0.8859653294619321
F_S_bM_local,Bi-Maxwellian,firehose,plus,259,0.942477796076938,nan,1.669921875,6.123046875,0.4213995249519521,0.049824814839780934,nan,nan,0.8266525120866784
F_S_bM_local,Bi-Maxwellian,firehose,minus,259,0.942477796076938,nan,1.11328125,5.2880859375,0.49110836091569043,0.026384256535742164,nan,nan,0.9611617561513767
