step,omega_ci_t,k,E_perp,E_parallel
39000,3.6181640625,1.2590992490834092,3.945074125556331e-09,1.0596831336937815e-09
39000,3.6181640625,1.5151233009332898,7.782104056837039e-09,1.3889853223631889e-09
39000,3.6181640625,1.823207041622908,1.396742153710559e-08,2.393097935721679e-09
42000,3.896484375,0.34462269856015243,5.58506752201159e-10,2.3607102713963155e-10
42000,3.896484375,0.41469795252368274,7.957101779270096e-10,5.529994989512234e-10
42000,3.896484375,0.6004929537827834,1.5113492106264265e-09,2.4059957203567445e-10
42000,3.896484375,0.7225966237251571,2.3423307010038407e-09,1.0936721840020133e-09
42000,3.896484375,0.8695287385634709,2.462637656012081e-09,7.81555849166141e-10
42000,3.896484375,1.0463378908276764,6.201991035657743e-09,2.0464309864720317e-09
42000,3.896484375,1.2590992490834092,3.4764439838263907e-09,1.2949937610227192e-09
42000,3.896484375,1.5151233009332898,6.768006305707095e-09,1.7939956505669368e-09
42000,3.896484375,1.823207041622908,1.523276281374557e-08,3.080686528379373e-09
45000,4.1748046875,0.34462269856015243,5.885852128054695e-10,2.831033273790609e-10
45000,4.1748046875,0.41469795252368274,8.454241485468902e-10,6.396152041369187e-10
45000,4.1748046875,0.6004929537827834,1.4612274493689252e-09,2.746695626718143e-10
45000,4.1748046875,0.7225966237251571,2.618344997409065e-09,1.531669325098039e-09
45000,4.1748046875,0.8695287385634709,2.920318033087209e-09,1.2724668195429837e-09
45000,4.1748046875,1.0463378908276764,6.52306369367951e-09,3.1900434306201986e-09
45000,4.1748046875,1.2590992490834092,3.4764454856312033e-09,1.125999326410753e-09
45000,4.1748046875,1.5151233009332898,8.864808268955694e-09,2.0195106198614903e-09
45000,4.1748046875,1.823207041622908,1.3519185866087386e-08,4.110865007392341e-09
48000,4.453125,0.34462269856015243,7.654209370423998e-10,3.4527608926225056e-10
48000,4.453125,0.41469795252368274,9.567537134401863e-10,7.051996310697658e-10
48000,4.453125,0.6004929537827834,1.5224221121346499e-09,3.369273588559751e-10
48000,4.453125,0.7225966237251571,3.1276965751388886e-09,1.828908518834852e-09
48000,4.453125,0.8695287385634709,3.468488383957254e-09,1.5942985203470583e-09
48000,4.453125,1.0463378908276764,7.494517668112984e-09,3.874476027096967e-09
48000,4.453125,1.2590992490834092,3.599773722906545e-09,1.244173425606041e-09
48000,4.453125,1.5151233009332898,9.71469370435655e-09,2.216160743099463e-09
