omega_over_omega_ci,phase_velocity_over_va,k_parallel_d_i,ridge_rank,spectral_power
0.15866699125081374,0.5050527192617104,0.3141592653589793,1,14857081042.776339
0.19833373906351717,0.6313158990771379,0.3141592653589793,1,48983515021.83257
0.23800048687622058,0.7575790788925654,0.3141592653589793,1,109636325435.18193
0.277667234688924,0.883842258707993,0.3141592653589793,1,172726438596.6799
0.3173339825016275,1.0101054385234207,0.3141592653589793,1,195715431699.0351
0.35700073031433094,1.1363686183388484,0.3141592653589793,1,161183981400.4709
0.39666747812703435,1.2626317981542758,0.3141592653589793,1,96821840822.42937
0.4363342259397378,0.6944474889848518,0.6283185307179586,1,42593667501.69776
0.47600097375244116,0.7575790788925654,0.6283185307179586,1,13938892627.2163
0.5156677215651446,0.8207106688002792,0.6283185307179586,1,3601064281.7363253
0.555334469377848,0.883842258707993,0.6283185307179586,1,829298646.4483695
0.15866699125081374,0.5050527192617104,0.3141592653589793,2,14857081042.776339
0.19833373906351717,0.6313158990771379,0.3141592653589793,2,48983515021.83257
0.23800048687622058,0.7575790788925654,0.3141592653589793,2,109636325435.18193
0.277667234688924,0.883842258707993,0.3141592653589793,2,172726438596.6799
0.3173339825016275,1.0101054385234207,0.3141592653589793,2,195715431699.0351
0.35700073031433094,1.1363686183388484,0.3141592653589793,2,161183981400.4709
0.39666747812703435,1.2626317981542758,0.3141592653589793,2,96821840822.42937
0.4363342259397378,0.6944474889848518,0.6283185307179586,2,42593667501.69776
0.47600097375244116,0.7575790788925654,0.6283185307179586,2,13938892627.2163
0.5156677215651446,0.8207106688002792,0.6283185307179586,2,3601064281.7363253
0.555334469377848,0.883842258707993,0.6283185307179586,2,829298646.4483695
