step,omega_ci_t,k,E_perp,E_parallel
500,0.06597222222222222,0.3446226985601524,5.459377494912777e-13,4.621136335006408e-14
500,0.06597222222222222,0.41469795252368263,4.718137966968626e-13,2.849744432897288e-14
500,0.06597222222222222,0.6004929537827832,1.636340968488752e-12,5.776847278595411e-14
500,0.06597222222222222,0.722596623725157,2.8233369401068127e-12,7.636168882215013e-13
500,0.06597222222222222,0.8695287385634707,6.2287751167891585e-12,2.2204384208039225e-12
500,0.06597222222222222,1.046337890827676,1.218842857262674e-11,6.668513529836596e-12
500,0.06597222222222222,1.2590992490834088,1.4782135251059515e-11,6.91210353252937e-12
500,0.06597222222222222,1.5151233009332892,5.3841442068780046e-11,1.7328665014631033e-11
500,0.06597222222222222,1.8232070416229078,1.0776638080426137e-10,5.162744240358392e-11
1000,0.13194444444444445,0.3446226985601524,1.1140190202250345e-12,2.862426287117021e-13
1000,0.13194444444444445,0.41469795252368263,1.1433213228939327e-12,4.806394076746061e-14
1000,0.13194444444444445,0.6004929537827832,2.2244860593801317e-12,2.1927111382429477e-13
1000,0.13194444444444445,0.722596623725157,5.6862524372310675e-12,1.3548209317942087e-12
1000,0.13194444444444445,0.8695287385634707,8.49252548436443e-12,2.7842998043259353e-12
1000,0.13194444444444445,1.046337890827676,2.2367111492093894e-11,1.7430040188858587e-11
1000,0.13194444444444445,1.2590992490834088,3.0626987759486446e-11,1.655207391298993e-11
1000,0.13194444444444445,1.5151233009332892,1.3975977785251655e-10,5.828393978886179e-11
1000,0.13194444444444445,1.8232070416229078,2.86874183858284e-10,1.1013232522532303e-10
1500,0.19791666666666669,0.3446226985601524,2.255040527310147e-12,5.097169256462518e-13
1500,0.19791666666666669,0.41469795252368263,2.2121599589401177e-12,3.0523288778567716e-14
1500,0.19791666666666669,0.6004929537827832,4.829707108386915e-12,2.569720941954874e-13
1500,0.19791666666666669,0.722596623725157,1.3115239524861258e-11,3.231805114227847e-12
1500,0.19791666666666669,0.8695287385634707,2.0592560300048104e-11,4.699792441406434e-12
1500,0.19791666666666669,1.046337890827676,4.251449400368532e-11,2.8394920814787733e-11
1500,0.19791666666666669,1.2590992490834088,7.384385223488747e-11,2.8065881718828573e-11
1500,0.19791666666666669,1.5151233009332892,3.185915032787285e-10,8.638019525932489e-11
1500,0.19791666666666669,1.8232070416229078,5.798481134537688e-10,1.4824183103547897e-10
2000,0.2638888888888889,0.3446226985601524,5.083320839745307e-12,7.664050763351896e-13
2000,0.2638888888888889,0.41469795252368263,4.520751327177793e-12,1.0400563764142343e-13
2000,0.2638888888888889,0.6004929537827832,1.1055007615243259e-11,5.217734159768975e-13
2000,0.2638888888888889,0.722596623725157,2.5178660010305907e-11,6.043249058195832e-12
2000,0.2638888888888889,0.8695287385634707,3.533489903438908e-11,8.751656214530704e-12
2000,0.2638888888888889,1.046337890827676,8.237193240931767e-11,4.824807509828626e-11
2000,0.2638888888888889,1.2590992490834088,1.0557298808860254e-10,5.481281719276367e-11
2000,0.2638888888888889,1.5151233009332892,4.748670409645518e-10,1.3861038304715467e-10
2000,0.2638888888888889,1.8232070416229078,8.089534123090352e-10,1.940890734689648e-10
2500,0.3298611111111111,0.3446226985601524,6.852709362600354e-12,1.3270435540425128e-12
2500,0.3298611111111111,0.41469795252368263,5.994004628752845e-12,1.20668976437406e-13
2500,0.3298611111111111,0.6004929537827832,1.7513771017787668e-11,6.746227201891286e-13
2500,0.3298611111111111,0.722596623725157,3.678733010098868e-11,8.423702654519956e-12
2500,0.3298611111111111,0.8695287385634707,5.5384845045719906e-11,1.138463416571649e-11
2500,0.3298611111111111,1.046337890827676,1.1897667712505516e-10,5.876506138999245e-11
2500,0.3298611111111111,1.2590992490834088,1.6160103079819825e-10,7.543901786750122e-11
2500,0.3298611111111111,1.5151233009332892,6.786568094074919e-10,1.668463953012038e-10
2500,0.3298611111111111,1.8232070416229078,1.1701241095354752e-09,2.1784683285833343e-10
3000,0.39583333333333337,0.3446226985601524,1.057901877385776e-11,1.3832824081911268e-12
3000,0.39583333333333337,0.41469795252368263,9.904100370504823e-12,2.1700553516901427e-13
3000,0.39583333333333337,0.6004929537827832,2.8130850261531417e-11,1.3390247265623757e-12
3000,0.39583333333333337,0.722596623725157,5.537805769131606e-11,1.4555434123390002e-11
3000,0.39583333333333337,0.8695287385634707,7.952931899918329e-11,1.8337710058404675e-11
3000,0.39583333333333337,1.046337890827676,1.7539669860942454e-10,7.777570891922859e-11
3000,0.39583333333333337,1.2590992490834088,2.3020764090187922e-10,9.204587732266448e-11
3000,0.39583333333333337,1.5151233009332892,7.847390026707697e-10,1.6187832619857067e-10
3000,0.39583333333333337,1.8232070416229078,1.3430737091151736e-09,2.0996306880816415e-10
3500,0.4618055555555556,0.3446226985601524,1.5221067245331868e-11,1.697367591111956e-12
3500,0.4618055555555556,0.41469795252368263,1.1848739648370872e-11,4.09343342794041e-13
3500,0.4618055555555556,0.6004929537827832,3.967000608357494e-11,2.648278028066153e-12
3500,0.4618055555555556,0.722596623725157,6.62216944377097e-11,1.315334678710381e-11
3500,0.4618055555555556,0.8695287385634707,1.002946068554733e-10,2.7951930487967822e-11
3500,0.4618055555555556,1.046337890827676,2.0347366322711792e-10,7.030337486050832e-11
3500,0.4618055555555556,1.2590992490834088,2.7442425641999056e-10,1.190216094681257e-10
3500,0.4618055555555556,1.5151233009332892,9.420202840284101e-10,1.4287498821337905e-10
3500,0.4618055555555556,1.8232070416229078,1.7859869757650813e-09,1.9944404819923187e-10
4000,0.5277777777777778,0.3446226985601524,2.0522262092034572e-11,2.4917112382123867e-12
4000,0.5277777777777778,0.41469795252368263,1.727942078198604e-11,9.422699731706163e-13
4000,0.5277777777777778,0.6004929537827832,5.6492343044193086e-11,2.071367157745265e-12
4000,0.5277777777777778,0.722596623725157,8.912662361335546e-11,1.743947439206069e-11
4000,0.5277777777777778,0.8695287385634707,1.352952166045404e-10,2.886167147515186e-11
4000,0.5277777777777778,1.046337890827676,2.579986764819452e-10,8.60554794711205e-11
4000,0.5277777777777778,1.2590992490834088,3.422167398214495e-10,1.419269604296897e-10
4000,0.5277777777777778,1.5151233009332892,9.921679500656236e-10,1.4101246024913875e-10
4000,0.5277777777777778,1.8232070416229078,1.9844268982826314e-09,1.7257629649910322e-10
4500,0.59375,0.3446226985601524,2.676427536973094e-11,3.2998502330319295e-12
4500,0.59375,0.41469795252368263,2.2720886903178324e-11,1.1255946689410661e-12
