case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,9000,1.1875,0.3016166388988495,3.315466957163995,0.30167973041534424,0.2943757176399231,0.30916643142700195,5.967221260070801,5.964864730834961,5.814104080200195,6.118634223937988,0.664835622338517,0.3632189834396675,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,9500,1.2534722222222223,0.30169549584388733,3.3146003628686955,0.30175158381462097,0.2944609820842743,0.3092438578605652,5.9658308029174805,5.963698387145996,5.812386512756348,6.117624282836914,0.6647575055226278,0.36306200967874047,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,10000,1.3194444444444444,0.30177563428878784,3.3137201495964312,0.30183255672454834,0.2945482134819031,0.30931559205055237,5.964423656463623,5.961867332458496,5.810670852661133,6.1166534423828125,0.6646784140102778,0.36290277972149,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,10500,1.3854166666666667,0.3018552362918854,3.3128462911043512,0.30191320180892944,0.29461076855659485,0.3094043731689453,5.963015556335449,5.960711479187012,5.809315204620361,6.115584850311279,0.6645992315289057,0.3627439952370203,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,11000,1.4513888888888888,0.30193471908569336,3.3119742010066284,0.3019932806491852,0.29468920826911926,0.30948495864868164,5.961617946624756,5.95916748046875,5.807811737060547,6.114104270935059,0.6645206019731061,0.3625858828874128,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,11500,1.5173611111111112,0.30201441049575806,3.3111002827927827,0.30207058787345886,0.29476213455200195,0.30957382917404175,5.96022367477417,5.9577412605285645,5.806139945983887,6.113056659698486,0.6644421234617879,0.3624277129660298,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,12000,1.5833333333333335,0.3020937740802765,3.31023041783796,0.30214840173721313,0.29485103487968445,0.3096393644809723,5.958828926086426,5.956621170043945,5.804626941680908,6.111736297607422,0.664363581366727,0.36226980728645053,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,12500,1.6493055555555556,0.302173912525177,3.3093525236619508,0.30221471190452576,0.2949340343475342,0.3097321391105652,5.957435607910156,5.955179214477539,5.803092956542969,6.110494136810303,0.6642850831078321,0.3621111705826551,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,13000,1.715277777777778,0.3022541403770447,3.308474116359688,0.30229446291923523,0.29502710700035095,0.3097933232784271,5.95603084564209,5.9539690017700195,5.801577091217041,6.109090805053711,0.6642059029188272,0.3619517625417825,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,13500,1.78125,0.30233436822891235,3.3075961752480962,0.3023874759674072,0.2950977385044098,0.30988818407058716,5.954625129699707,5.9525041580200195,5.8000593185424805,6.107850074768066,0.6641266315784248,0.3617922633495124,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,14000,1.8472222222222223,0.3024141192436218,3.306723913887135,0.3024543225765228,0.295145183801651,0.30998507142066956,5.953232288360596,5.951362609863281,5.798617362976074,6.1067962646484375,0.6640480493411486,0.36163393009752676,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,14500,1.9131944444444446,0.30249306559562683,3.3058609063680207,0.3025588393211365,0.29521700739860535,0.3100687861442566,5.951850891113281,5.94978141784668,5.796852111816406,6.105774879455566,0.6639700764368605,0.3614770108412336,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,15000,1.979166666666667,0.30257388949394226,3.3049778408590034,0.30262666940689087,0.2953101694583893,0.31014561653137207,5.950448513031006,5.948538780212402,5.795403957366943,6.104122638702393,0.6638908822385137,0.3613169927445714,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,15500,2.045138888888889,0.30265378952026367,3.3041053329783163,0.3027053475379944,0.2953934073448181,0.31021973490715027,5.949056625366211,5.94669246673584,5.793929100036621,6.102928638458252,0.6638122435291353,0.3611584540088716,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,16000,2.111111111111111,0.3027333617210388,3.303236862680086,0.3027876615524292,0.29548072814941406,0.31029146909713745,5.947669506072998,5.94544792175293,5.792396545410156,6.1018385887146,0.6637338376051567,0.3610004758841179,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,16500,2.1770833333333335,0.30281344056129456,3.3023633235909258,0.30286866426467896,0.29555028676986694,0.3103815019130707,5.946280002593994,5.943899154663086,5.790834426879883,6.1005754470825195,0.6636552602421137,0.3608418196808192,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,17000,2.243055555555556,0.3028930723667145,3.301495119007852,0.30295589566230774,0.29561591148376465,0.3104463517665863,5.944895267486572,5.942578315734863,5.789349555969238,6.099297523498535,0.663576915990721,0.3606838436240065,1327104
