step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
5500,0.7256944444444444,0.0006381020927325856,0.00797627615915732,0.0006375947660451408,0.007969934575564261,0.0017072454198514921,0.021340567748143652,0.0771175089344139,0.036031138319826295,0.15164146894290123,2.0358714037485262e-07
6000,0.7916666666666667,0.0006499529536367456,0.00812441192045932,0.0006494262991430393,0.00811782873928799,0.0017089627016561332,0.021362033770701665,0.07715403263091937,0.035574592113507886,0.15221113040123457,2.112194209705648e-07
6500,0.857638888888889,0.0006587412350053879,0.008234265437567348,0.0006582779992555499,0.008228474990694373,0.0017149236704155411,0.021436545880194263,0.0770833732360722,0.03645783454909757,0.15161434220679013,2.1697000734821182e-07
7000,0.9236111111111112,0.0006701784451490221,0.008377230564362776,0.0006697903863036866,0.008372379828796083,0.0017146365410821971,0.021432956763527463,0.0768469695637938,0.039412880452577514,0.15222017264660495,2.2456957417118046e-07
7500,0.9895833333333335,0.0006823891133692542,0.008529863917115677,0.0006819295404205857,0.00852411925525732,0.001719412582452956,0.021492657280661947,0.07693941440443051,0.03825731994461856,0.15245225694444445,2.3282745102243842e-07
8000,1.0555555555555556,0.0006877771045513722,0.008597213806892153,0.0006872722713190749,0.008590903391488436,0.0017246645880515576,0.02155830735064447,0.07663529415510863,0.04205882306114217,0.1520724826388889,2.365186727725346e-07
8500,1.121527777777778,0.0006969325628082929,0.00871165703510366,0.0006965211052067077,0.008706513815083845,0.0017236320525448755,0.02154540065681094,0.07666926147874731,0.041634231515658704,0.15214783468364199,2.4285749855126754e-07
9000,1.1875,0.0007065564062486989,0.008831955078108735,0.0007061759156900326,0.008827198946125407,0.0017253808940396818,0.02156726117549602,0.0768895033534035,0.03888120808245632,0.15196096161265432,2.496109776055382e-07
9500,1.2534722222222223,0.000711825028395584,0.008897812854944799,0.0007114166605001918,0.008892708256252399,0.0017294006370212804,0.021617507962766003,0.07607873817627842,0.04901577279651981,0.15244924286265432,2.5334743552518694e-07
10000,1.3194444444444444,0.0007169704578897132,0.008962130723621415,0.0007165970312140944,0.008957462890176179,0.0017341894154351601,0.0216773676929395,0.07656030036066347,0.042996245491706664,0.15214783468364199,2.5702331874329245e-07
10500,1.3854166666666667,0.000726969181527678,0.009087114769095975,0.0007265379155330762,0.009081723944163452,0.0017372635855262243,0.021715794819077802,0.07661016960333347,0.04237287995833161,0.15330222800925927,2.64242095445511e-07
11000,1.4513888888888888,0.0007341805855150419,0.009177257318938023,0.0007337336949029289,0.00917167118628661,0.0017365675204531652,0.021707094005664566,0.0768510551379181,0.03936181077602385,0.15214482060185186,2.695105660736049e-07
11500,1.5173611111111112,0.0007380327356389227,0.009225409195486534,0.0007376873464891772,0.009221091831114714,0.0017356324998922142,0.021695406248652675,0.0767047759771027,0.0411903002862164,0.15255473572530864,2.72346159437336e-07
12000,1.5833333333333335,0.0007451680490470155,0.009314600613087694,0.0007447906727141665,0.009309883408927081,0.001741260709438058,0.021765758867975722,0.07660890269527432,0.04238871630907104,0.15261803144290123,2.7763771066026763e-07
12500,1.6493055555555556,0.0007508334089296834,0.009385417611621042,0.0007504792459412777,0.009380990574265972,0.001739575704098473,0.021744696301230913,0.07656556606897331,0.042930424137833545,0.1524582851080247,2.818754039824846e-07
13000,1.715277777777778,0.0007555371570026877,0.009444214462533596,0.0007551168418873573,0.009438960523591966,0.0017421247175855902,0.021776558969819875,0.07666066202723186,0.0417417246596018,0.15304301697530864,2.8541819780585195e-07
13500,1.78125,0.0007606112061854569,0.00950764007731821,0.0007602676259289835,0.009503345324112292,0.0017454513211791161,0.021818141514738952,0.07682120481883502,0.03973493976456233,0.1528983410493827,2.8926470348744777e-07
14000,1.8472222222222223,0.0007640865537758556,0.009551081922198194,0.0007637433948941826,0.009546792436177282,0.0017473366404019007,0.021841708005023757,0.07652190989486338,0.04347612631420783,0.1527657214506173,2.9191413083053166e-07
