step,omega_ci_t,kappa_fit,maxwellian_sigma,kappa_sigma,error_maxwellian,error_kappa,error_tail_maxwellian,error_tail_kappa,suprathermal_fraction
0,0.0,2.9890877808388874,0.007212237854676145,0.008969389386080018,1.217975644884846,0.04130467630142593,2.2192937158621793,0.07100260902053536,0.00650372642699527
10000,1.3194444444444444,3.07377863416693,0.007176874429693267,0.008837324790834456,1.2449605985003012,0.03793971147055675,2.232584583290452,0.06305412968700311,0.006613915198017823
20000,2.638888888888889,3.030756034681884,0.007177852144212987,0.008884185414127506,1.2349867642324397,0.036687907367882806,2.2503873578895077,0.06292053831512137,0.006623018580359957
30000,3.958333333333334,3.041454274775833,0.007174005648573875,0.008866622666094845,1.2110312466216342,0.03325841062442778,2.2091394300512324,0.055933729903771746,0.006584963601004716
40000,5.277777777777778,3.161681271985673,0.007210950461858778,0.008795181693080396,1.2549050394624655,0.04215807348649846,2.2537770256915968,0.07330494555907789,0.006341995929286345
50000,6.597222222222222,3.236729208049575,0.007205325001349482,0.008728371405211951,1.211692017321735,0.03897894924724475,2.20992710297905,0.06525993498334917,0.006389725321682734
60000,7.916666666666668,3.232319904800614,0.007183532702021135,0.008703272444110973,1.1674900483110442,0.04301787214514645,2.1324704921234283,0.07654358841552866,0.006348750014973467
70000,9.23611111111111,3.1498079218737947,0.007200845140340274,0.008791261205340297,1.1264682494366283,0.03374316744807217,2.092577166635725,0.05556119172176112,0.006324098015514053
80000,10.555555555555555,3.374906482623228,0.0072088853065251975,0.008625879100341608,1.143937858710102,0.04748348169816475,2.0912908162123975,0.08433941006494511,0.006403398048526377
90000,11.875,3.264565011324305,0.007203205448336746,0.008700702651261612,1.1340840827107987,0.04519687672641728,2.0676899243503275,0.08069094988372615,0.006371893402535183
100000,13.194444444444445,3.205564782403997,0.007191353253807827,0.008732288828586862,1.1675264943570902,0.03762901742776244,2.1316049919763977,0.06730137955302876,0.006505624488001759
110000,14.513888888888888,3.396861385985746,0.007206806392357852,0.008606445065656889,1.1159258467480642,0.04926566837751133,2.04410483148023,0.09032418123836058,0.006548340513706713
120000,15.833333333333336,3.4915440771342516,0.007221269626575448,0.008560338963297246,1.150030597512358,0.05054407825932038,2.1017850966143694,0.08952839556268136,0.006490366361997786
130000,17.15277777777778,3.5366298780796566,0.007212452360047738,0.008524538383704832,1.0875857202604209,0.059814634333189315,2.0238319742770714,0.10898372069405612,0.006425077368473595
140000,18.47222222222222,3.5138015046576596,0.0072393182576019725,0.00856649008777139,1.0403199248606467,0.05308851213792926,1.9395381495246384,0.09811177586312855,0.00637341262565468
150000,19.791666666666668,3.568345314610008,0.007221353133060533,0.008514155979701435,1.08813507953803,0.061053631714374876,1.9947052228298179,0.11144969470156196,0.006481767273689316
160000,21.11111111111111,3.662472681711724,0.007242542231841075,0.008486588249299152,1.0284693161253113,0.06405620650711782,1.9166431762649303,0.11793238250803942,0.006273214692676452
170000,22.430555555555557,3.7828824962663017,0.007245223810310039,0.008429150531656614,0.9894523161006008,0.06466676805284695,1.8463466615885984,0.11905527248874742,0.006366575677522751
180000,23.75,3.7093500899984124,0.00720648842700076,0.008416657203675631,1.0468409266734984,0.06246092145227568,1.9206910389484495,0.11391971213366012,0.006302655348264671
190000,25.069444444444446,3.8384604110421634,0.007239820439564961,0.008393412865034552,0.9945425585158947,0.06424845147695743,1.856819393365548,0.1185096111136256,0.0063253481137764
200000,26.38888888888889,3.7491254631275823,0.00724479348628774,0.008439229386673486,1.0175866752905802,0.05678289829638955,1.8963170745198203,0.10455854289386589,0.0062688034136810945
210000,27.708333333333332,3.8816253808184027,0.007254117507325704,0.00838731839787698,1.0143892366696081,0.07088013798538668,1.8927897379762053,0.13159514876169684,0.006284790806248878
220000,29.027777777777775,4.229383691234527,0.00730628200201279,0.008310807097573859,0.99633492993953,0.08408044491058658,1.8291344136539065,0.15237657832939133,0.006028596883027642
230000,30.34722222222222,4.205577510985604,0.007276311783300273,0.008287333266495752,0.9872602781040002,0.09731129414928089,1.8472672593963366,0.18344474759376667,0.006289107138576121
240000,31.66666666666667,4.19627215247819,0.007280186980868496,0.008293918079357716,0.9196863433219019,0.08260997431172361,1.7470388408469333,0.1539073509957004,0.006300705679036052
