step,omega_ci_t,corr_A_deltaB,corr_A_Bmag,corr_A_Jdia,corr_A_rho_i
0,0.0,nan,nan,0.0017480928302416147,0.0008325383496638701
500,0.06597222222222222,0.00020520491306564315,0.0002052049130656421,-0.0011169010974007585,-0.001456188707250874
1000,0.13194444444444445,0.0011039495974473922,0.001103949597447393,-0.0007084745648623124,0.0016975891734747875
1500,0.19791666666666669,0.00025131035124380285,0.0002513103512438039,-0.002671883781238861,0.001034105751419189
2000,0.2638888888888889,0.0011269285804303185,0.0011269285804303177,-0.0012417266094543764,-0.00010418542987493231
2500,0.3298611111111111,-0.00020931782083987604,-0.00020931782083987834,0.0037672614018883187,-0.001419132565595088
3000,0.39583333333333337,0.004812586706547997,0.004812586706548,-0.0005176264256645631,0.003907805830552168
3500,0.4618055555555556,0.001148358316534317,0.0011483583165343154,0.00012966118730346686,0.0013611821749171746
4000,0.5277777777777778,0.0026629667013471172,0.0026629667013471146,-0.0011696248198964857,0.004183192134306652
4500,0.59375,0.0016819338665687207,0.0016819338665687233,-0.0014618753135923355,0.006756689885983883
5000,0.6597222222222222,0.006223333186428798,0.006223333186428799,0.004553729979864585,0.005300922176470369
5500,0.7256944444444444,0.00014569470801126616,0.0001456947080112623,0.0020614250792692036,0.0012832045791627434
6000,0.7916666666666667,0.002780827581005306,0.002780827581005304,-0.0012509334761604393,0.0008485124423244777
6500,0.857638888888889,-0.0008042711492883529,-0.000804271149288349,0.001101086764067029,0.0019139658185801682
7000,0.9236111111111112,-0.0007342986288476563,-0.0007342986288476619,0.0006721522388520568,0.0057490559672371795
7500,0.9895833333333335,0.0028871052937175902,0.0028871052937175907,0.0029634282288924394,0.001010248793458947
8000,1.0555555555555556,0.0005520611499276505,0.000552061149927649,-0.0020994610344182425,0.003232155238222294
8500,1.121527777777778,0.0031629952442258627,0.0031629952442258614,0.0013254890251055752,0.004550055487464993
9000,1.1875,-0.0027973480249733206,-0.002797348024973313,0.002121307998279821,0.004945123355223684
9500,1.2534722222222223,-0.0006726914294904632,-0.0006726914294904583,0.0016206965901078107,0.005961477029378276
10000,1.3194444444444444,0.0018971768670737069,0.001897176867073705,-0.002481798113244535,0.002567143168005446
10500,1.3854166666666667,0.003948012824896903,0.003948012824896906,0.003621213575502373,0.004259997445696901
11000,1.4513888888888888,0.0018437953028381786,0.0018437953028381726,3.713010461797775e-05,-0.001042814324464327
11500,1.5173611111111112,0.0025242407997424217,0.0025242407997424225,0.002583908014849925,0.002613818772309988
12000,1.5833333333333335,0.002320179844080412,0.0023201798440804127,0.0034627331003622805,0.0012966343619778338
12500,1.6493055555555556,0.0045682030623032865,0.004568203062303292,0.002717792765455512,0.0022881664479208336
13000,1.715277777777778,0.003817613553156393,0.0038176135531563936,-0.004421749702891287,-0.00044572552045288007
13500,1.78125,0.004494185284525233,0.004494185284525234,-0.0029804844009451363,0.0005629278254914985
14000,1.8472222222222223,-0.005075359252695242,-0.0050753592526952464,0.0013256470477398992,0.004946151715325002
14500,1.9131944444444446,0.0025788435309089183,0.002578843530908912,-0.0005491873020705669,0.0011906477775502845
15000,1.979166666666667,-0.0006884693414859575,-0.0006884693414859585,-0.0020726158260570816,0.0018533255898627076
15500,2.045138888888889,0.004600676155508617,0.004600676155508619,-0.00025440090237822114,0.007639541495020613
16000,2.111111111111111,0.0032866354000721625,0.0032866354000721616,-0.0018012161076607727,0.0011272948947571853
16500,2.1770833333333335,0.002632870128900952,0.002632870128900952,-0.004233746759664273,-0.0022468040457813776
17000,2.243055555555556,0.001990300693776533,0.0019903006937765336,-0.0028443099074275864,0.002084030125200475
17500,2.3090277777777777,0.0001225884126169194,0.00012258841261691847,0.0029973395559286446,0.005422396018970358
18000,2.375,-0.00030243025931420294,-0.0003024302593142032,-0.0013342501706463668,-2.68592291217427e-05
18500,2.4409722222222223,0.0011931331362584636,0.0011931331362584636,-0.00294617679895589,0.0021053850869266204
19000,2.5069444444444446,0.0024829781609052226,0.0024829781609052265,0.001203544308227935,0.0028600062819323516
19500,2.572916666666667,0.00183429583916313,0.001834295839163133,0.0007860944925368836,-0.0017748566841361184
20000,2.638888888888889,-0.0018949788202305077,-0.0018949788202305034,0.0033317029607179754,0.0008658971404724601
20500,2.704861111111111,0.004894102251551761,0.004894102251551783,-0.001858502813156101,0.0027189276896987216
21000,2.7708333333333335,0.0026041742083647277,0.002604174208364725,-0.0013762124686315116,0.004448138086453105
21500,2.836805555555556,-0.00032181078167540616,-0.0003218107816754077,0.0024147905421607716,0.0026739955556950553
22000,2.9027777777777777,0.0011733677894236903,0.001173367789423692,0.001784426173028329,0.0034906283002893545
22500,2.96875,0.0010691763336492402,0.0010691763336492422,-0.0006455387468469703,8.751476188060273e-05
23000,3.0347222222222223,0.00197820155425489,0.0019782015542548917,5.01045510754501e-05,0.001488991852662285
23500,3.1006944444444446,0.004453998290526748,0.004453998290526749,-0.0002847573671063967,0.0023713709368549498
24000,3.166666666666667,0.0017370106747879742,0.0017370106747879705,-0.00019027145822831293,-0.001171735192664656
24500,3.232638888888889,0.0037974055169646003,0.0037974055169646016,-0.004408565208982049,0.0024501049403822988
25000,3.298611111111111,-0.0011525988202039953,-0.0011525988202039947,0.0013096418350615005,0.00047752328237718407
25500,3.364583333333334,0.0014888539434206901,0.001488853943420695,-0.001929043461405993,0.002810419660876247
26000,3.430555555555556,-3.0264074438121984e-05,-3.0264074438120913e-05,0.0033616383627375268,-0.0024144613411045154
26500,3.4965277777777777,0.002034007780836583,0.0020340077808365825,-0.002526633624851618,0.003984856515759055
27000,3.5625,0.00400699514748891,0.0040069951474889145,0.0023559552218312854,0.005883231338884366
27500,3.628472222222222,0.003954320346300431,0.003954320346300438,-0.0028099307442106107,0.002602135966415713
28000,3.6944444444444446,0.0058711863482281655,0.005871186348228167,-0.0005803031767271518,0.0008973980354512772
28500,3.7604166666666665,0.002535723393172572,0.002535723393172571,-0.0013990668450111197,0.002567583509186766
29000,3.8263888888888893,-0.0012359085808123246,-0.0012359085808123264,0.0006132101380734911,0.0046973481662014194
29500,3.892361111111111,-0.0009340000060020063,-0.0009340000060020047,-0.0033064998389566785,-0.0009506768747589713
30000,3.958333333333334,0.0008082160158229991,0.0008082160158230011,0.0007230739164053189,0.00393352948094874
30500,4.024305555555555,-0.0011477355345400947,-0.001147735534540094,-0.0021601966706533545,0.004561036417674188
31000,4.090277777777778,-0.0028841945209580194,-0.0028841945209580203,-0.00046501132522320626,0.0031274405668720046
31500,4.15625,-0.0018918800479412574,-0.001891880047941252,0.0015664554450132793,0.0034828482072624856
32000,4.222222222222222,0.0028238600769049764,0.002823860076904977,-0.00014095359521899383,0.0003080951907302904
32500,4.288194444444445,-0.0005524345595380957,-0.0005524345595380917,0.00042767250633271906,-0.0004894863147722127
33000,4.354166666666667,0.0008333888219554371,0.0008333888219554369,-0.0006466176694302754,-0.00011431903381045247
33500,4.420138888888889,0.0006809413739031282,0.0006809413739031282,0.0012098885942949666,0.0024014843731057023
34000,4.486111111111112,0.003070750252178627,0.003070750252178628,7.590695080650745e-05,0.0019498425161988662
34500,4.552083333333334,-0.002226285853876994,-0.0022262858538769957,0.0009734517275680876,0.0006441308891761788
35000,4.618055555555555,0.003759012383445806,0.003759012383445808,0.0023363117529323495,0.004295398943289359
35500,4.684027777777778,0.002135800036257668,0.002135800036257667,0.0005415200793954213,0.0015365738872862105
36000,4.75,0.005040389858476614,0.005040389858476618,0.002251655803866119,0.0004140816570960835
