step,omega_ci_t,plane,axis0,axis1,delta_axis0,delta_axis1,peak_k,peak_power,power_law_slope,power_law_rvalue
0,0.0,yz,z,y,0.034722222222222224,0.034722222222222224,nan,nan,nan,nan
300000,39.583333333333336,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,2.792082101060676e-07,0.32596599922230185,0.5932917466811344
600000,79.16666666666667,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,0.00011643025372706056,0.3876400502240426,0.6892842820021378
900000,118.75,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,0.0002255051101612552,0.37117665685958,0.650238663719729
1200000,158.33333333333334,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,0.00023171778579493562,0.35957794589177067,0.6487980937988259
