step,omega_ci_t,A_mean,A_median,A_p10,A_p90,T_parallel_mean,T_perp_mean,beta_parallel_mean,beta_parallel_median
0,0.0,2.009237903268532,2.0033958233053015,1.795026919344739,2.231267144848148,0.015976872901688498,0.03193490536623543,4.9927273042223606,4.953452388740187
500,0.06597222222222222,2.003763493324078,2.0016728059300535,1.8588542967730615,2.1515947046289408,0.015981865567025782,0.031947965609239834,4.993508358613142,4.970748011124101
1000,0.13194444444444445,2.003957826378026,2.001986977338511,1.8586361528311701,2.1526001144343025,0.015978600996179364,0.031944319676246835,4.992117227468579,4.969920089275934
1500,0.19791666666666669,2.0041355900551547,2.0018492291922665,1.8589077124400628,2.152242396802791,0.015975193260758146,0.03194044030603552,4.990922266168005,4.96885226748348
2000,0.2638888888888889,2.004343943041005,2.002517820609767,1.8584914386743008,2.152563810937554,0.015971844377347243,0.03193671635912818,4.989824032088041,4.967551969761021
2500,0.3298611111111111,2.0045123662873277,2.0024906391064796,1.8591578679480851,2.1528903388662615,0.015968552254353736,0.0319330814364422,4.988735739091927,4.966261342039536
3000,0.39583333333333337,2.004674928503172,2.0027250908445957,1.859079954467433,2.1526238783112017,0.015965392603419264,0.03192914534103334,4.9877505930383625,4.965866690828033
3500,0.4618055555555556,2.0048127928876984,2.0030191834352573,1.8596023865850981,2.152729404129039,0.015962149295121148,0.03192550519775032,4.986773595974788,4.96401508618796
4000,0.5277777777777778,2.005003361942948,2.0030641015260153,1.859871742091551,2.153233289983782,0.015958974310377478,0.03192181003954609,4.985758117195095,4.963724587559904
4500,0.59375,2.005197531012959,2.003170632162049,1.8590078462107056,2.1542907779092664,0.01595578989375516,0.031918071517206256,4.984783714019321,4.9621169855254355
5000,0.6597222222222222,2.0053317615241086,2.003380026941518,1.8598537280714464,2.153997676777732,0.015952614119298342,0.03191438275056627,4.983830326586718,4.960855954225652
5500,0.7256944444444444,2.005492218048703,2.003613528388369,1.8600651670591928,2.1536875777400826,0.01594939127761565,0.03191063110278027,4.982877633800207,4.961585104449259
6000,0.7916666666666667,2.0056872802614083,2.003525473633887,1.8599511225868004,2.1545972043490513,0.01594634508703674,0.031907092281329937,4.981953476396702,4.959533618397164
6500,0.857638888888889,2.005836123749999,2.0037094596889915,1.8604653600603371,2.154115908474264,0.015943190360040115,0.031903323171228695,4.980982235642471,4.958933599365652
7000,0.9236111111111112,2.005970518416418,2.0042894115402063,1.8603885657648416,2.1537559501643884,0.015940322502956586,0.03189976293263305,4.980082408285643,4.957632621977366
7500,0.9895833333333335,2.006128634058846,2.004167895565261,1.8606294094636273,2.1540733451835856,0.015937112351056108,0.031896029316135666,4.979150161824876,4.956882703017333
8000,1.0555555555555556,2.006275842592988,2.004503655932176,1.860743216838344,2.154563156544131,0.015934205544421164,0.03189246968202628,4.9782159936958585,4.955630362551482
8500,1.121527777777778,2.0064218317286096,2.0043659868775414,1.8609294589270482,2.155374078548016,0.01593124401811818,0.03188874854751668,4.977326136370058,4.955234226167649
9000,1.1875,2.0065457952213177,2.004775992994018,1.8606373789710844,2.154591057409978,0.015928240389224364,0.031885088612878844,4.976407300318115,4.954315059064093
9500,1.2534722222222223,2.0067155735376687,2.0049258447217086,1.8610073617054304,2.1548297975381634,0.01592526525260532,0.031881455665776166,4.975485263085858,4.953667453369555
