step,omega_ci_t,T_parallel_i,T_perp_i,A_i,R_i,beta_parallel_i,ion_count,T_parallel_e,T_perp_e,A_e,q_parallel_particle,q_perp_particle,E_kin_bulk,E_kin_thermal
0,0.0,0.015936994913888048,0.03198609280305213,2.0070341350977245,0.4982476294312299,4.980310910590015,249703,0.003205899827272012,0.003209122274443106,1.0010051615286544,-7.439133201887759e-07,0.0012034327568075129,8.572439331829827e-08,0.039954590259996155
10000,1.3194444444444444,0.015789512129098692,0.032050752225719834,2.0298760318663107,0.4926409220569884,4.934222540343341,250230,0.003292091960258637,0.00328874328091777,0.9989828111178876,3.72791485914866e-05,0.0012916568551110583,3.5028400567530915e-07,0.03994550829026918
20000,2.638888888888889,0.01579342765657826,0.03221815845054597,2.0399725221856135,0.49020268122465027,4.935446142680706,250641,0.003376554307556892,0.0033648893822305313,0.9965453168337159,-3.1499062310871232e-06,0.0012343121384887493,2.2641706160627105e-07,0.040114872278835104
30000,3.958333333333334,0.015724871118253676,0.03178264034430182,2.0211701644669144,0.4947628940800988,4.914022224454273,250419,0.003497715052637881,0.003460337553392717,0.9893137380596585,7.741787947729661e-06,0.0011817399548675095,4.5934875312656276e-08,0.03964507590342865
40000,5.277777777777778,0.01590332649155064,0.032183053385833285,2.0236680296371947,0.49415219559469,4.969789528609574,250079,0.0035946251796745003,0.0035696624533538036,0.993055541239224,-1.6467132435750043e-05,0.0012980321314688664,4.0659616003221165e-09,0.040134716631608607
50000,6.597222222222222,0.01572598437690893,0.031568680124699884,2.0074215621791787,0.49815146894927187,4.91437011778404,250402,0.0037087624327476337,0.003657139226540744,0.9860807460324049,9.188268453732474e-06,0.0012013993296075018,4.029472524631386e-07,0.039431672313154344
60000,7.916666666666668,0.015547660738776828,0.03149105629252412,2.0254530132615693,0.4937167110036825,4.858643980867758,250443,0.0038078192741594283,0.0037550587542707747,0.9861441638665216,2.132372402537862e-06,0.0011856193716780657,1.0675551033577318e-07,0.03926488666191254
70000,9.23611111111111,0.015620635530668508,0.03144608703457276,2.013111884777903,0.49674337902501886,4.881448603333909,249838,0.003922224203830548,0.0038591019868580326,0.9839065250500293,-8.990380178165265e-07,0.001182740821698546,2.73745571187823e-07,0.03925640479990701
80000,10.555555555555555,0.015477413279383264,0.031211392196417193,2.016576777593219,0.4958898719410518,4.836691649807269,249555,0.003996973261184228,0.003958314764252562,0.990328057155876,9.967491383946612e-06,0.0011736281623176453,6.104227743156594e-08,0.038950098836108824
90000,11.875,0.01550982011691102,0.03131072960355119,2.0187680687161396,0.4953516035331202,4.846818786534693,250475,0.004146446621205983,0.004048069252997723,0.9762742952712491,-8.89507127034309e-06,0.0011867695131959999,1.4944150503870567e-07,0.039065639662006706
100000,13.194444444444445,0.015557322314551232,0.03144692326289029,2.0213583434905784,0.4947168339648042,4.86166322329726,250245,0.004232418507357853,0.004152426843706081,0.9811002471724595,1.087840938022307e-06,0.001183946842399887,7.187828557687915e-08,0.039225584420165896
110000,14.513888888888888,0.015462618091363907,0.030989145506494814,2.004133150245927,0.4989688434010934,4.832068153551221,249987,0.004329179621343677,0.004243224709727896,0.9801452193870619,-1.1661288885164799e-05,0.001144912391985665,1.8691362635708072e-08,0.038720454552176764
120000,15.833333333333336,0.01547124110142467,0.031129791619146762,2.012106941845808,0.49699147654778686,4.834762844195209,250217,0.004431705699542307,0.0043674652738468775,0.9855043565501057,-4.881278456893663e-07,0.0011692773141130275,1.1766817376541975e-08,0.0388654121698591
130000,17.15277777777778,0.015412341746474744,0.031148127706775955,2.0209860525510632,0.49480796700091695,4.816356795773357,250425,0.004531612994943515,0.004477413747404541,0.988039744876835,-1.4625808573587263e-05,0.0011563111932988987,1.4366360423699535e-07,0.038854298580013324
140000,18.47222222222222,0.015303444991322917,0.030907861935129746,2.0196669411792287,0.49513114247249457,4.7823265597884115,250886,0.004641746603977727,0.004583442103535109,0.9874391031184999,1.145487190733755e-05,0.0011704650616026985,3.2735175428804574e-08,0.03855958443079121
150000,19.791666666666668,0.015299294462534557,0.031014526640959425,2.0271867253035016,0.4932944693835662,4.781029519542049,249469,0.00477102009981506,0.004679453129486266,0.9808076745825609,-8.358065743773825e-06,0.001165365483220699,2.88686383467595e-07,0.03866417387222671
160000,21.11111111111111,0.015214002516760056,0.030841781065367762,2.0271970529380305,0.4932919562756335,4.754375786487517,250111,0.004851916938518948,0.00479161591225559,0.9875717109283892,4.974583561440831e-06,0.0011321557569807376,1.1490240904406856e-07,0.03844878232374779
170000,22.430555555555557,0.015110124873838634,0.0309069322392344,2.0454451897181896,0.4888911250356088,4.721914023074573,250213,0.004989075353344636,0.00488932216369095,0.980005675884047,2.9849906236025163e-06,0.0011476044431793602,2.2367069336913382e-07,0.038461994676153716
180000,23.75,0.01503952645004497,0.030728557721632212,2.0431865207790723,0.48943157652522956,4.699852015639053,250212,0.005063598000575226,0.005007226971085657,0.988867396368518,-1.8544093915750276e-06,0.0011400506935635908,3.812762354379595e-07,0.0382483209466547
190000,25.069444444444446,0.01502917674507848,0.03064859942719322,2.0392733379244836,0.49037075187663287,4.696617732837025,250421,0.005175655953000059,0.005116518192536434,0.9885738617480273,1.242034391015899e-05,0.0011329328072278552,2.7082726903547966e-07,0.03816318779973246
