step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
7500,0.9895833333333335,high_y_high_z,-3.3530608895054887e-09,2.4243210956584713e-06,1.0629610030199098e-05,1.0629610030199098e-05
8000,1.0555555555555556,low_y_low_z,5.457140507887641e-09,2.3967293397115272e-06,1.0635672664463033e-05,1.0635672664463033e-05
8000,1.0555555555555556,low_y_high_z,-8.170974621867846e-09,2.409944876026875e-06,1.0628112810227284e-05,1.0628112810227284e-05
8000,1.0555555555555556,high_y_low_z,1.649447371929416e-09,2.4042115206924686e-06,1.0617131948562226e-05,1.0617131948562226e-05
8000,1.0555555555555556,high_y_high_z,-1.2279764719578365e-09,2.3982863591638777e-06,1.057695583194896e-05,1.057695583194896e-05
8500,1.121527777777778,low_y_low_z,4.8340603599874175e-09,2.4071581809194123e-06,1.0649942861427657e-05,1.0649942861427657e-05
8500,1.121527777777778,low_y_high_z,-3.390818584811894e-09,2.402898411459713e-06,1.0661866606523135e-05,1.0661866606523135e-05
8500,1.121527777777778,high_y_low_z,4.707105455606374e-10,2.4105167691734294e-06,1.0624609647984814e-05,1.0624609647984814e-05
8500,1.121527777777778,high_y_high_z,-4.503562164509467e-09,2.394403723420838e-06,1.059991066567374e-05,1.059991066567374e-05
9000,1.1875,low_y_low_z,3.520827271879035e-09,2.40506688939139e-06,1.0664729679879336e-05,1.0664729679879336e-05
9000,1.1875,low_y_high_z,-7.083882434877893e-09,2.411657163268443e-06,1.0624688207377529e-05,1.0624688207377529e-05
9000,1.1875,high_y_low_z,1.9207320394482145e-09,2.4051267764244827e-06,1.0631517317705577e-05,1.0631517317705577e-05
9000,1.1875,high_y_high_z,-2.17589417358138e-09,2.409187577451894e-06,1.062669936994358e-05,1.062669936994358e-05
9500,1.2534722222222223,low_y_low_z,-1.3240702532475463e-09,2.4045190654263037e-06,1.0601046779585997e-05,1.0601046779585997e-05
