case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Maxwellian,ion,8500,1.121527777777778,2.000396251678467,0.49990095670341955,2.0008058547973633,1.9521766901016235,2.050682783126831,4.983240604400635,4.9814019203186035,4.854197978973389,5.110835552215576,1.200672630399767,0.7997236212786998,331776
Mirror Moderate Bi-Maxwellian,ion,9000,1.1875,2.000485420227051,0.49987867439018985,2.000955820083618,1.9524002075195312,2.050795555114746,4.982480525970459,4.980539798736572,4.8527326583862305,5.110977649688721,1.2007032430508549,0.7997821771761959,331776
Mirror Moderate Bi-Maxwellian,ion,9500,1.2534722222222223,2.0005838871002197,0.4998540708280256,2.0009820461273193,1.9522889852523804,2.050808906555176,4.981703758239746,4.979455947875977,4.851603031158447,5.110085487365723,1.2007345375256404,0.7998493495745793,331776
Mirror Moderate Bi-Maxwellian,ion,10000,1.3194444444444444,2.0006730556488037,0.4998317926942377,2.0009803771972656,1.9523488283157349,2.0512137413024902,4.980935096740723,4.978591442108154,4.850787162780762,5.110043525695801,1.2007655150243477,0.799907540624456,331776
Mirror Moderate Bi-Maxwellian,ion,10500,1.3854166666666667,2.0007753372192383,0.4998062408095464,2.000924587249756,1.9524626731872559,2.051018476486206,4.980142116546631,4.978596210479736,4.849826335906982,5.109166622161865,1.2007974826014458,0.7999778546177925,331776
Mirror Moderate Bi-Maxwellian,ion,11000,1.4513888888888888,2.0008583068847656,0.4997855153256449,2.0011534690856934,1.952626347541809,2.051164150238037,4.979401588439941,4.977460861206055,4.849370956420898,5.108889102935791,1.2008273448603897,0.800030962024376,331776
Mirror Moderate Bi-Maxwellian,ion,11500,1.5173611111111112,2.0009450912475586,0.499763838785059,2.0012054443359375,1.952871322631836,2.0512444972991943,4.978631496429443,4.9768476486206055,4.848074436187744,5.108206748962402,1.2008584087248024,0.8000866825227562,331776
Mirror Moderate Bi-Maxwellian,ion,12000,1.5833333333333335,2.001034736633301,0.49974144960745615,2.0014944076538086,1.9527112245559692,2.0512707233428955,4.977879524230957,4.976470947265625,4.847360134124756,5.107298374176025,1.2008887509495305,0.8001459856837703,331776
Mirror Moderate Bi-Maxwellian,ion,12500,1.6493055555555556,2.0011415481567383,0.4997147757594185,2.001699209213257,1.9529393911361694,2.05125093460083,4.977088928222656,4.97568416595459,4.846059799194336,5.107277870178223,1.200920661539617,0.8002208866171212,331776
Mirror Moderate Bi-Maxwellian,ion,13000,1.715277777777778,2.0012247562408447,0.49969399832851724,2.0017380714416504,1.9529529809951782,2.051455020904541,4.9763288497924805,4.9744873046875,4.845707416534424,5.105974197387695,1.200951349917661,0.8002734063231838,331776
Mirror Moderate Bi-Maxwellian,ion,13500,1.78125,2.0013108253479004,0.49967250830523224,2.0015268325805664,1.9530165195465088,2.0516180992126465,4.975587844848633,4.9737725257873535,4.844453811645508,5.105874538421631,1.2009812772244246,0.8003295481234758,331776
Mirror Moderate Bi-Maxwellian,ion,14000,1.8472222222222223,2.0014073848724365,0.4996484011993075,2.001981019973755,1.9531264305114746,2.0516629219055176,4.974813938140869,4.972588062286377,4.843941688537598,5.104937553405762,1.201012542867826,0.8003948420046105,331776
Mirror Moderate Bi-Maxwellian,ion,14500,1.9131944444444446,2.0014939308166504,0.49962679606626614,2.0019302368164062,1.9533889293670654,2.0516438484191895,4.974051475524902,4.972111701965332,4.843156337738037,5.104345321655273,1.2010433556871205,0.8004505751295299,331776
Mirror Moderate Bi-Maxwellian,ion,15000,1.979166666666667,2.0015790462493896,0.4996055498651556,2.0017852783203125,1.9533897638320923,2.0517163276672363,4.973312854766846,4.971208572387695,4.84254264831543,5.1036176681518555,1.2010732140129723,0.8005058322364174,331776
Mirror Moderate Bi-Maxwellian,ion,15500,2.045138888888889,2.001646041870117,0.49958882793568754,2.0021071434020996,1.9534273147583008,2.05196213722229,4.972597122192383,4.970777988433838,4.841434478759766,5.102867126464844,1.201102155559127,0.8005438863109902,331776
Mirror Moderate Bi-Maxwellian,ion,16000,2.111111111111111,2.001742362976074,0.49956478840426705,2.002187967300415,1.9534032344818115,2.0521695613861084,4.9718122482299805,4.970085144042969,4.840269565582275,5.1029052734375,1.2011339025032595,0.8006084604728148,331776
Mirror Moderate Bi-Maxwellian,ion,16500,2.1770833333333335,2.0018372535705566,0.4995411081576987,2.0021731853485107,1.9534262418746948,2.052215099334717,4.971053123474121,4.969077110290527,4.839467525482178,5.101834297180176,1.201164617468648,0.8006726361019085,331776
Mirror Moderate Bi-Maxwellian,ion,17000,2.243055555555556,2.0019099712371826,0.49952296275441344,2.0023396015167236,1.9535610675811768,2.052288770675659,4.97031831741333,4.968108654022217,4.839075088500977,5.100825786590576,1.2011943574109805,0.8007156138262022,331776
Mirror Moderate Bi-Maxwellian,ion,17500,2.3090277777777777,2.0020151138305664,0.4994967286169207,2.0022292137145996,1.9538038969039917,2.0521249771118164,4.969540596008301,4.967667579650879,4.837907791137695,5.100449562072754,1.2012258438543058,0.8007892699762607,331776
Mirror Moderate Bi-Maxwellian,ion,18000,2.375,2.0020904541015625,0.4994779321540443,2.002531051635742,1.9538657665252686,2.0523624420166016,4.968817710876465,4.967204570770264,4.836905479431152,5.099928379058838,1.2012551190620369,0.8008353350395256,331776
Mirror Moderate Bi-Maxwellian,ion,18500,2.4409722222222223,2.0021920204162598,0.49945259485755916,2.002513885498047,1.9536892175674438,2.0525224208831787,4.968045234680176,4.9662041664123535,4.836411476135254,5.098850250244141,1.2012864120115798,0.80090560840468,331776
Mirror Moderate Bi-Maxwellian,ion,19000,2.5069444444444446,2.002277374267578,0.4994313039999238,2.002753257751465,1.953772783279419,2.052734851837158,4.967288970947266,4.9655914306640625,4.83545446395874,5.098410606384277,1.201317057624151,0.8009603166434272,331776
Mirror Moderate Bi-Maxwellian,ion,19500,2.572916666666667,2.002351760864258,0.4994127503193438,2.002847194671631,1.9539772272109985,2.052572250366211,4.966569423675537,4.965108394622803,4.834318161010742,5.098159313201904,1.201346224062231,0.8010055368020268,331776
Mirror Moderate Bi-Maxwellian,ion,20000,2.638888888888889,2.0024526119232178,0.4993875980114051,2.002964496612549,1.9543558359146118,2.052830219268799,4.965799808502197,4.963852882385254,4.833378791809082,5.097227573394775,1.2013774293292794,0.8010751825939384,331776
Mirror Moderate Bi-Maxwellian,ion,20500,2.704861111111111,2.002546548843384,0.49936417237220915,2.0030226707458496,1.95411217212677,2.052896022796631,4.965034484863281,4.962929725646973,4.832845687866211,5.0966973304748535,1.2014084701825665,0.8011380786608173,331776
Mirror Moderate Bi-Maxwellian,ion,21000,2.7708333333333335,2.002627372741699,0.49934401856844135,2.002979278564453,1.9544990062713623,2.0527470111846924,4.964294910430908,4.962498188018799,4.831385612487793,5.096231460571289,1.2014384757639627,0.8011888969777365,331776
Mirror Moderate Bi-Maxwellian,ion,21500,2.836805555555556,2.0027287006378174,0.499318754298336,2.0032968521118164,1.9544765949249268,2.0530447959899902,4.9635233879089355,4.962108135223389,4.83089542388916,5.0953826904296875,1.2014697870540882,0.8012589135837291,331776
Mirror Moderate Bi-Maxwellian,ion,22000,2.9027777777777777,2.002809762954712,0.49929854472284807,2.003103733062744,1.954575777053833,2.0530033111572266,4.962791919708252,4.960806369781494,4.829955101013184,5.094856262207031,1.2014994817793583,0.8013102811753536,331776
Mirror Moderate Bi-Maxwellian,ion,22500,2.96875,2.0029003620147705,0.4992759594861092,2.003234386444092,1.9544827938079834,2.0533409118652344,4.962041854858398,4.960339069366455,4.829585552215576,5.094298362731934,1.2015299405467301,0.8013704214680404,331776
Mirror Moderate Bi-Maxwellian,ion,23000,3.0347222222222223,2.0029895305633545,0.499253732853383,2.0033915042877197,1.9547361135482788,2.053154468536377,4.961277484893799,4.959083557128906,4.828454494476318,5.093532562255859,1.2015609896936466,0.8014285408697079,331776
Mirror Moderate Bi-Maxwellian,ion,23500,3.1006944444444446,2.0030646324157715,0.49923501409635607,2.003304958343506,1.954789161682129,2.053311824798584,4.960558891296387,4.9587225914001465,4.82766056060791,5.092648983001709,1.2015901881045226,0.8014744443112489,331776
Mirror Moderate Bi-Maxwellian,ion,24000,3.166666666666667,2.003142833709717,0.4992155243108909,2.0033555030822754,1.9548622369766235,2.0531928539276123,4.9598259925842285,4.958261489868164,4.826670169830322,5.09252405166626,1.201619976486104,0.8015228572236128,331776
Mirror Moderate Bi-Maxwellian,ion,24500,3.232638888888889,2.0032248497009277,0.4991950854390087,2.003538131713867,1.9547747373580933,2.053571939468384,4.959099769592285,4.957315921783447,4.826144218444824,5.09157133102417,1.2016495022204838,0.8015753474804439,331776
Mirror Moderate Bi-Maxwellian,ion,25000,3.298611111111111,2.003326654434204,0.4991697174230571,2.0037755966186523,1.9551537036895752,2.0534543991088867,4.958327770233154,4.956175804138184,4.825055122375488,5.091063022613525,1.2016808985487817,0.8016457558854224,331776
Mirror Moderate Bi-Maxwellian,ion,25500,3.364583333333334,2.0034096240997314,0.49914904469392685,2.003765106201172,1.954981803894043,2.0538864135742188,4.957589149475098,4.955475807189941,4.8245463371276855,5.089991569519043,1.2017109465607652,0.8016986775389663,331776
Mirror Moderate Bi-Maxwellian,ion,26000,3.430555555555556,2.003493547439575,0.499128136089073,2.003873348236084,1.9551665782928467,2.0538716316223145,4.956841945648193,4.955036640167236,4.8237080574035645,5.089472770690918,1.2017413528542986,0.8017521945852766,331776
Mirror Moderate Bi-Maxwellian,ion,26500,3.4965277777777777,2.003575563430786,0.4991077043721117,2.0037014484405518,1.9552769660949707,2.05389142036438,4.95611047744751,4.954590797424316,4.823040008544922,5.088821887969971,1.2017711276918546,0.8018044357389316,331776
Mirror Moderate Bi-Maxwellian,ion,27000,3.5625,2.0036630630493164,0.49908590842520656,2.004021167755127,1.9553471803665161,2.053762912750244,4.955345153808594,4.953309059143066,4.821725845336914,5.088364601135254,1.201802290044603,0.8018607730047134,331776
Mirror Moderate Bi-Maxwellian,ion,27500,3.628472222222222,2.0037455558776855,0.4990653614011274,2.0039360523223877,1.955479621887207,2.0540452003479004,4.954622268676758,4.952980995178223,4.820685386657715,5.087935447692871,1.201831733232627,0.8019138226450586,331776
Mirror Moderate Bi-Maxwellian,ion,28000,3.6944444444444446,2.003828763961792,0.4990446379374697,2.0040664672851562,1.9553194046020508,2.0541250705718994,4.9539031982421875,4.952312469482422,4.820519924163818,5.0871477127075195,1.201861029572567,0.8019677343892251,331776
Mirror Moderate Bi-Maxwellian,ion,28500,3.7604166666666665,2.0039119720458984,0.4990239161948056,2.004384756088257,1.955703616142273,2.0540359020233154,4.9531636238098145,4.951408863067627,4.8196821212768555,5.086741924285889,1.201891170159009,0.8020208018868895,331776
Mirror Moderate Bi-Maxwellian,ion,29000,3.8263888888888893,2.0040135383605957,0.4989986249384625,2.0045220851898193,1.9558783769607544,2.054203748703003,4.952394008636475,4.950545787811279,4.818388938903809,5.085784435272217,1.201922544582701,0.8020909937778946,331776
Mirror Moderate Bi-Maxwellian,ion,29500,3.892361111111111,2.004075050354004,0.49898330894512055,2.0044922828674316,1.9556949138641357,2.054565668106079,4.951694011688232,4.95023250579834,4.817424774169922,5.085433006286621,1.201951089392751,0.8021239609612529,331776
Mirror Moderate Bi-Maxwellian,ion,30000,3.958333333333334,2.004168748855591,0.4989599805759941,2.0046167373657227,1.9559071063995361,2.054398536682129,4.950930118560791,4.949674606323242,4.816701412200928,5.084823131561279,1.2019822490022734,0.8021864998533175,331776
Mirror Moderate Bi-Maxwellian,ion,30500,4.024305555555555,2.004258632659912,0.49893760401214776,2.004732608795166,1.9562052488327026,2.0544538497924805,4.950182914733887,4.948822975158691,4.815805435180664,5.084186553955078,1.2020127371502913,0.8022458955096208,331776
