step,omega_ci_t,k,E_perp,E_parallel
500,0.06597222222222222,0.3446226985601524,5.017485863448866e-13,4.212122396795167e-14
500,0.06597222222222222,0.41469795252368263,5.938192119464172e-13,9.122910675041926e-14
500,0.06597222222222222,0.6004929537827832,1.6511252686751647e-12,2.627595663895676e-13
500,0.06597222222222222,0.722596623725157,2.8238614629933842e-12,1.365501422311442e-12
500,0.06597222222222222,0.8695287385634707,4.979942427741912e-12,3.4419230903016047e-12
500,0.06597222222222222,1.046337890827676,1.0085464134148406e-11,1.0404732867112248e-11
500,0.06597222222222222,1.2590992490834088,1.5469433949987367e-11,1.1155821810228756e-11
500,0.06597222222222222,1.5151233009332892,4.8408911747969534e-11,1.58420113718545e-11
500,0.06597222222222222,1.8232070416229078,9.798336377860065e-11,3.9452954679048684e-11
1000,0.13194444444444445,0.3446226985601524,7.633946900954159e-13,1.61351061241218e-13
1000,0.13194444444444445,0.41469795252368263,1.3055555354098204e-12,1.3379361303402995e-13
1000,0.13194444444444445,0.6004929537827832,2.1484311627780206e-12,2.2053353600474684e-13
1000,0.13194444444444445,0.722596623725157,6.901251109220056e-12,2.6677498411644127e-12
1000,0.13194444444444445,0.8695287385634707,8.16646011171486e-12,4.957486467663862e-12
1000,0.13194444444444445,1.046337890827676,2.3388138138078197e-11,2.4006773758828812e-11
1000,0.13194444444444445,1.2590992490834088,4.1367016966398694e-11,2.108139212590133e-11
1000,0.13194444444444445,1.5151233009332892,1.3229108614997264e-10,4.549889509103046e-11
1000,0.13194444444444445,1.8232070416229078,2.723727572844971e-10,8.263595776786565e-11
1500,0.19791666666666669,0.3446226985601524,1.6621507873439005e-12,4.932528267843978e-13
1500,0.19791666666666669,0.41469795252368263,2.3072283313453512e-12,2.274847010003387e-13
1500,0.19791666666666669,0.6004929537827832,4.7994821627850494e-12,6.609825664808674e-13
1500,0.19791666666666669,0.722596623725157,1.5168454420124132e-11,5.06064442524248e-12
1500,0.19791666666666669,0.8695287385634707,1.7689685207333452e-11,9.974940064858538e-12
1500,0.19791666666666669,1.046337890827676,4.674513698955215e-11,4.1537539909187364e-11
1500,0.19791666666666669,1.2590992490834088,8.402509443428773e-11,4.407591375784913e-11
1500,0.19791666666666669,1.5151233009332892,2.9209483691666134e-10,8.164876964252512e-11
1500,0.19791666666666669,1.8232070416229078,5.308056312097197e-10,1.4689209181198553e-10
