omega_over_omega_ci,phase_velocity_over_va,ridge_rank,spectral_power
0.03968327562429206,0.07489583333333333,1,138225898321.54288
0.07936655124858412,0.2740625,1,126371831417.65714
0.11904982687287619,0.3736458333333333,1,49165953146.56754
0.15873310249716824,0.5230208333333334,1,37700654932.11437
0.15873310249716824,0.17447916666666666,2,2061868463.5329278
0.19841637812146032,0.6226041666666666,1,29359041647.390335
0.19841637812146032,0.2242708333333333,2,2224841837.4264417
0.23809965374575237,0.7719791666666667,1,18140429006.21495
0.23809965374575237,0.3736458333333333,2,5758956184.545528
0.27778292937004445,0.8715625,1,15194304384.565403
0.27778292937004445,0.42343749999999997,2,4499378112.1548815
0.3174662049943365,1.0209375,1,16191598567.558094
0.3174662049943365,0.5230208333333334,2,3575676528.3361807
0.35714948061862856,1.1205208333333334,1,14404394045.352924
0.35714948061862856,0.5728125000000001,2,2590485901.4972944
0.39683275624292064,1.2698958333333332,1,9608616745.571018
0.39683275624292064,0.6226041666666666,2,1907795570.2912757
0.4365160318672127,1.3694791666666666,1,5499443307.227655
0.4365160318672127,0.6723958333333333,2,1224279173.177861
0.47619930749150474,1.5188541666666666,1,3871618541.305276
0.47619930749150474,0.7719791666666667,2,1065236673.8923764
0.5158825831157968,1.6184375,1,2357242829.8138437
0.5158825831157968,0.8217708333333333,2,850931176.9924887
0.5555658587400889,1.7678125,1,2733233650.9316287
0.5555658587400889,0.8715625,2,648928157.5579863
0.5952491343643809,1.9171875,1,7164683831.517811
0.5952491343643809,0.9711458333333334,2,1433722502.8845887
0.634932409988673,2.016770833333333,1,9010751364.105207
0.634932409988673,1.0209375,2,1375522502.270181
0.6746156856129651,2.166145833333333,1,7200329029.550251
0.6746156856129651,1.0707291666666667,2,1201718979.5064692
0.7142989612372571,2.2657291666666666,1,6532029512.795471
0.7142989612372571,1.1205208333333334,2,1293364791.3664422
0.7539822368615492,2.4151041666666666,1,6223603707.212076
0.7539822368615492,1.2201041666666668,2,1160637082.5604706
0.7936655124858413,2.5146874999999995,1,6810513899.483676
0.7936655124858413,1.2698958333333332,2,998905976.1714813
0.8333487881101332,2.6640624999999996,1,8489410749.803587
0.8333487881101332,1.3196875,2,1155167692.1972356
0.8730320637344254,2.763645833333333,1,6417100848.24381
0.8730320637344254,1.3694791666666666,2,986725174.6228172
0.9127153393587175,2.913020833333333,1,5155609700.137069
0.9127153393587175,1.4690625,2,890568577.3437049
0.9523986149830095,3.0126041666666663,1,4557838669.196852
0.9523986149830095,1.5188541666666666,2,914493323.5877279
0.9920818906073017,3.1619791666666663,1,4673232498.468094
0.9920818906073017,1.5686458333333333,2,891005561.3743323
1.0317651662315936,3.2615624999999997,1,4624251016.527239
1.0317651662315936,1.6184375,2,911025002.6836469
1.0714484418558856,3.4109374999999997,1,3946312501.264455
1.0714484418558856,1.7180208333333333,2,863268324.516757
1.1111317174801778,3.5603124999999998,1,4630077788.741817
1.1111317174801778,1.7678125,2,942643800.332691
1.1508149931044698,3.659895833333333,1,5996331298.6376295
1.1508149931044698,1.8176041666666667,2,904907287.3015165
1.1904982687287617,3.809270833333333,1,5218543269.089516
1.1904982687287617,1.9171875,2,993638898.593221
1.230181544353054,3.9088541666666665,1,5398861637.658562
1.230181544353054,1.9669791666666667,2,1231916883.4638891
1.269864819977346,4.058229166666667,1,5654296588.481779
1.269864819977346,2.016770833333333,2,1396417161.914778
1.309548095601638,4.1578125,1,5104402695.831993
1.309548095601638,2.0665625,2,1150385903.0761175
1.3492313712259303,4.3071874999999995,1,4432221844.002758
1.3492313712259303,2.166145833333333,2,1076554012.16897
1.3889146468502223,4.406770833333333,1,4081576861.871517
1.3889146468502223,2.2159375,2,1194661434.6374514
1.4285979224745142,4.556145833333334,1,4162018451.9846025
1.4285979224745142,2.2657291666666666,2,1256482757.7202268
1.4682811980988064,4.655729166666667,1,4183118236.509082
1.4682811980988064,2.3155208333333333,2,1171977117.1507518
1.5079644737230984,4.805104166666666,1,4350561403.071974
1.5079644737230984,2.4151041666666666,2,1098994876.942295
1.5476477493473904,4.9046875,1,4746773579.279149
1.5476477493473904,2.464895833333333,2,1145206189.0128455
1.5873310249716825,5.054062499999999,1,4843097094.710323
1.5873310249716825,2.5146874999999995,2,1214868412.5276527
1.6270143005959747,5.2034375,1,5064307837.684725
1.6270143005959747,2.614270833333333,2,1198332152.0834618
1.6666975762202665,5.303020833333333,1,5242678216.296162
