omega_over_omega_ci,phase_velocity_over_va,k_parallel_d_i,ridge_rank,spectral_power
0.15866699125081374,0.5050527192617104,0.3141592653589793,1,21183766683.129562
0.19833373906351717,0.6313158990771379,0.3141592653589793,1,73483859199.1902
0.23800048687622058,0.7575790788925654,0.3141592653589793,1,175395264624.6136
0.277667234688924,0.883842258707993,0.3141592653589793,1,298230952644.3979
0.3173339825016275,1.0101054385234207,0.3141592653589793,1,369619661028.1582
0.35700073031433094,1.1363686183388484,0.3141592653589793,1,339191626395.9066
0.39666747812703435,0.6313158990771379,0.6283185307179586,1,233925287941.5102
0.4363342259397378,0.6944474889848518,0.6283185307179586,1,123543951974.87622
0.47600097375244116,0.7575790788925654,0.6283185307179586,1,51901992319.57325
0.5156677215651446,0.8207106688002792,0.6283185307179586,1,18502851035.794216
0.555334469377848,0.883842258707993,0.6283185307179586,1,6025591951.698445
0.5950012171905515,0.9469738486157069,0.6283185307179586,1,1891901838.4840808
0.634667965003255,1.0101054385234207,0.6283185307179586,1,600929019.671974
0.15866699125081374,0.5050527192617104,0.3141592653589793,2,21183766683.129562
0.19833373906351717,0.6313158990771379,0.3141592653589793,2,73483859199.1902
0.23800048687622058,0.7575790788925654,0.3141592653589793,2,175395264624.6136
0.277667234688924,0.883842258707993,0.3141592653589793,2,298230952644.3979
0.3173339825016275,1.0101054385234207,0.3141592653589793,2,369619661028.1582
0.35700073031433094,1.1363686183388484,0.3141592653589793,2,339191626395.9066
0.39666747812703435,0.6313158990771379,0.6283185307179586,2,233925287941.5102
0.4363342259397378,0.6944474889848518,0.6283185307179586,2,123543951974.87622
0.47600097375244116,0.7575790788925654,0.6283185307179586,2,51901992319.57325
0.5156677215651446,0.8207106688002792,0.6283185307179586,2,18502851035.794216
0.555334469377848,0.883842258707993,0.6283185307179586,2,6025591951.698445
0.5950012171905515,0.9469738486157069,0.6283185307179586,2,1891901838.4840808
0.634667965003255,1.0101054385234207,0.6283185307179586,2,600929019.671974
