step,omega_ci_t,mean,median,valid_cells
58500,7.71875,2.0103626887011172,2.008867003367971,331776
59000,7.784722222222222,2.010419710854543,2.0090966398059393,331776
59500,7.850694444444444,2.0104673399909623,2.0091517305104607,331776
60000,7.916666666666668,2.0105586428564908,2.009224368805783,331776
60500,7.982638888888889,2.0106404950732544,2.009296415999414,331776
61000,8.04861111111111,2.0107195620922695,2.00930359574238,331776
61500,8.114583333333334,2.0107716139935947,2.0094175959006004,331776
62000,8.180555555555555,2.010839686272131,2.0093866234842737,331776
62500,8.246527777777779,2.010916776043095,2.0095322488042555,331776
63000,8.3125,2.0109528772261047,2.0096009401251145,331776
63500,8.378472222222221,2.0110260966669893,2.0095882838569743,331776
64000,8.444444444444445,2.01110319114088,2.0096381155202385,331776
64500,8.510416666666668,2.0111676651689785,2.0097385881841277,331776
65000,8.57638888888889,2.011248994936564,2.0098159150681587,331776
65500,8.64236111111111,2.011310744968144,2.0099443688703458,331776
66000,8.708333333333334,2.0113824968089307,2.0097793022320407,331776
66500,8.774305555555555,2.0114448468459454,2.010073860395434,331776
67000,8.840277777777779,2.01151139426725,2.0100457541243566,331776
67500,8.90625,2.011573450942597,2.0102968429182555,331776
68000,8.972222222222223,2.0116452241688623,2.010305672752148,331776
68500,9.038194444444445,2.0117109255065073,2.0102691277572964,331776
69000,9.104166666666668,2.0117637948972535,2.0104612467197644,331776
69500,9.17013888888889,2.0118414693298767,2.0103667842211914,331776
70000,9.23611111111111,2.0118949080420667,2.010543580040567,331776
70500,9.302083333333334,2.011978987258062,2.010558016685558,331776
71000,9.368055555555555,2.012012882649285,2.0107500719577516,331776
71500,9.434027777777779,2.0120947424894084,2.0105844180014687,331776
72000,9.5,2.0121503079511895,2.010816056795684,331776
72500,9.565972222222223,2.0122219414393525,2.010946363666384,331776
73000,9.631944444444445,2.012282998800281,2.0108708555455563,331776
73500,9.697916666666668,2.0123733341167727,2.011120439657101,331776
74000,9.76388888888889,2.012425859969271,2.0109423686552335,331776
74500,9.82986111111111,2.012496543476386,2.0109602718293713,331776
75000,9.895833333333334,2.012538495883556,2.01123234048155,331776
75500,9.961805555555555,2.0126095947967246,2.011189695414044,331776
76000,10.027777777777779,2.0126789617565044,2.0113799206123666,331776
76500,10.09375,2.0127221836428,2.011494071762929,331776
77000,10.159722222222223,2.012807967219045,2.011405915654705,331776
77500,10.225694444444445,2.0128413432105683,2.011428993694177,331776
78000,10.291666666666668,2.0129322913000105,2.011614552200216,331776
78500,10.35763888888889,2.0129905396831087,2.011693764820785,331776
79000,10.42361111111111,2.013059921955725,2.011625857971919,331776
79500,10.489583333333334,2.013098362465843,2.0118723394721183,331776
80000,10.555555555555555,2.013173151613563,2.011839828694126,331776
80500,10.621527777777779,2.013236936557429,2.01187054209956,331776
81000,10.6875,2.013290442952409,2.0119566598755303,331776
81500,10.753472222222223,2.013356082208118,2.0117755298493654,331776
82000,10.819444444444445,2.0133945066461982,2.0120983880092362,331776
82500,10.885416666666668,2.0134566369912177,2.012289382343039,331776
83000,10.95138888888889,2.01353920895992,2.0121669092603094,331776
83500,11.01736111111111,2.0135689535128343,2.012166334286088,331776
84000,11.083333333333334,2.013647032061892,2.012140571030681,331776
84500,11.149305555555555,2.013695911696124,2.0121222527333673,331776
85000,11.215277777777779,2.0137560750620547,2.0125086622792736,331776
85500,11.28125,2.0138256686461005,2.0122297907570297,331776
86000,11.347222222222223,2.0138815273189192,2.0124977398967188,331776
86500,11.413194444444445,2.013931267428572,2.012612966446473,331776
87000,11.479166666666668,2.0139839526841885,2.012666532302007,331776
87500,11.54513888888889,2.014061835722121,2.0127008551869796,331776
88000,11.61111111111111,2.0141081254482778,2.0127776660388084,331776
88500,11.677083333333334,2.0141804946163893,2.0127673760918263,331776
89000,11.743055555555555,2.014206577585473,2.012602109364956,331776
89500,11.809027777777779,2.0142941074113505,2.0127854949438087,331776
90000,11.875,2.014328784833767,2.0130735602229564,331776
90500,11.940972222222223,2.0143699378972526,2.0129546562724414,331776
91000,12.006944444444445,2.0144314039140596,2.012844485740622,331776
91500,12.072916666666668,2.0144837956209654,2.012945012292822,331776
92000,12.13888888888889,2.014555032972664,2.0130850595221785,331776
92500,12.20486111111111,2.0146108434613943,2.013255026832618,331776
93000,12.270833333333334,2.0146527813179347,2.01308002985032,331776
93500,12.336805555555555,2.014695524168774,2.013298437625418,331776
94000,12.402777777777779,2.0147419748053244,2.013303003183984,331776
94500,12.46875,2.014805755136308,2.013341841368657,331776
95000,12.534722222222223,2.014875851156975,2.0133007146340374,331776
95500,12.600694444444445,2.0149143169654278,2.013667677150343,331776
96000,12.666666666666668,2.0149677304212426,2.013543911503038,331776
96500,12.73263888888889,2.0150196043063926,2.013566420015572,331776
97000,12.79861111111111,2.0150559292195673,2.013537360360398,331776
97500,12.864583333333334,2.0151422841173727,2.0136934952022734,331776
98000,12.930555555555555,2.0151813058992216,2.0139340338223537,331776
98500,12.996527777777779,2.0152207118127197,2.0137903554101655,331776
99000,13.0625,2.015279991941597,2.0138792571267103,331776
99500,13.128472222222223,2.015339717775227,2.0138610617644996,331776
100000,13.194444444444445,2.015386915039025,2.0138534834682513,331776
100500,13.260416666666666,2.0154312943001123,2.013866362690435,331776
101000,13.326388888888888,2.015474384298628,2.0141254369859416,331776
101500,13.39236111111111,2.015544911785809,2.014021071441489,331776
102000,13.458333333333336,2.015610995699002,2.014183627992244,331776
102500,13.524305555555557,2.015631568223198,2.0141325839448525,331776
103000,13.590277777777779,2.0156915773550708,2.014318474881189,331776
103500,13.65625,2.0157177088159868,2.014223083926028,331776
104000,13.722222222222223,2.0157768661923923,2.0144682504172833,331776
104500,13.788194444444445,2.015830610825883,2.0143266653290413,331776
105000,13.854166666666666,2.0158519528243857,2.0145175251343086,331776
105500,13.920138888888888,2.0159022113632408,2.0145626239192183,331776
106000,13.98611111111111,2.0159449262386895,2.0145774026154504,331776
106500,14.052083333333336,2.016005561617561,2.014602883434385,331776
107000,14.118055555555557,2.016062766051917,2.0147059929706037,331776
107500,14.184027777777779,2.0161111507764193,2.014746185636214,331776
108000,14.25,2.016150160521827,2.0146880274027663,331776
108500,14.315972222222223,2.0161952317237364,2.0148495678968836,331776
109000,14.381944444444445,2.0162498428913977,2.014893205202344,331776
109500,14.447916666666666,2.0162986697253222,2.014799301167151,331776
110000,14.513888888888888,2.016334897840796,2.0149089624164076,331776
110500,14.57986111111111,2.0163657202922707,2.014833443137503,331776
111000,14.645833333333336,2.016446778308869,2.014915576322405,331776
111500,14.711805555555557,2.0164661119539686,2.0151504904784443,331776
112000,14.777777777777779,2.0165082730865627,2.015103451727658,331776
112500,14.84375,2.0165568097053344,2.015060674319863,331776
113000,14.909722222222223,2.0165863838885523,2.015318707508489,331776
113500,14.975694444444445,2.0166356540648698,2.0150710116591837,331776
114000,15.041666666666666,2.0166889527755796,2.015273414006721,331776
114500,15.107638888888888,2.016721537441948,2.015318185297377,331776
115000,15.17361111111111,2.016764738706792,2.015436716206973,331776
115500,15.239583333333336,2.0168227353555217,2.01548389740517,331776
116000,15.305555555555557,2.0168621912694786,2.015509379552412,331776
116500,15.371527777777779,2.016888630668852,2.015474483276787,331776
117000,15.4375,2.016925947304882,2.015482557945106,331776
117500,15.503472222222223,2.0169850490146795,2.0156450083212665,331776
118000,15.569444444444445,2.0170055480299305,2.0154498832668564,331776
118500,15.635416666666666,2.017062189999874,2.0156957237754103,331776
119000,15.701388888888888,2.0170833983031895,2.0155694023406303,331776
119500,15.76736111111111,2.017129791587403,2.01570321188206,331776
120000,15.833333333333336,2.017180633720452,2.0157132058998686,331776
120500,15.899305555555557,2.0172215519215104,2.015937549427734,331776
121000,15.965277777777779,2.0172453202573712,2.0159495435978547,331776
121500,16.03125,2.0172949807052243,2.015936828380064,331776
122000,16.09722222222222,2.0173281454188428,2.0160530874226903,331776
122500,16.163194444444443,2.0173883305592284,2.016191749770135,331776
123000,16.229166666666668,2.0174004048709313,2.0160503005072448,331776
123500,16.29513888888889,2.017451825050058,2.0160719599471024,331776
124000,16.36111111111111,2.0174862785875938,2.0160387457383706,331776
124500,16.427083333333336,2.0175134924217124,2.0160651582928018,331776
125000,16.493055555555557,2.0175587876830656,2.016052589456434,331776
125500,16.55902777777778,2.0176087306860437,2.0160637484250663,331776
126000,16.625,2.01762897138392,2.0161602482272123,331776
126500,16.69097222222222,2.0176869076721884,2.0162366483074408,331776
127000,16.756944444444443,2.017714836546975,2.0164440549430975,331776
127500,16.822916666666668,2.017752153268177,2.016307110278195,331776
128000,16.88888888888889,2.0177807350200823,2.016377656318058,331776
128500,16.95486111111111,2.017818427224816,2.016407115924526,331776
129000,17.020833333333336,2.017847936916329,2.016145845202405,331776
129500,17.086805555555557,2.017880352510011,2.016446660899007,331776
130000,17.15277777777778,2.0179080344580496,2.0164491447209727,331776
130500,17.21875,2.0179612899747523,2.0165419171372005,331776
131000,17.28472222222222,2.0180055138971014,2.016585514983952,331776
131500,17.350694444444443,2.018034466224213,2.016561414885159,331776
132000,17.416666666666668,2.018058215593001,2.0165238830359087,331776
132500,17.48263888888889,2.018077481543553,2.016685310393144,331776
133000,17.54861111111111,2.0181036781357853,2.016938272404967,331776
133500,17.614583333333336,2.0181563058870204,2.016643816802789,331776
134000,17.680555555555557,2.018172297122876,2.0168652253763684,331776
134500,17.74652777777778,2.018222709299954,2.0167591710479575,331776
135000,17.8125,2.018246890984755,2.016925020647739,331776
135500,17.87847222222222,2.018283122009949,2.0169325532829836,331776
136000,17.944444444444446,2.0183256790048705,2.016938722011682,331776
136500,18.010416666666668,2.018347322582543,2.016867153402286,331776
137000,18.07638888888889,2.0183956653918544,2.0170683316278817,331776
137500,18.14236111111111,2.0184056814849436,2.0170202414063136,331776
138000,18.208333333333336,2.018442352135604,2.0170941916050644,331776
138500,18.274305555555557,2.018473848433612,2.0171534102400113,331776
139000,18.34027777777778,2.0184955565973977,2.0170659414141614,331776
139500,18.40625,2.018530203534821,2.0169908811186374,331776
140000,18.47222222222222,2.0185592293658003,2.017077612481723,331776
140500,18.538194444444446,2.0185863102090185,2.0173091889384676,331776
141000,18.604166666666668,2.0185833113218696,2.017097256107103,331776
141500,18.67013888888889,2.0185969730878566,2.017272577487286,331776
142000,18.73611111111111,2.0186659816396695,2.0172351366432135,331776
142500,18.802083333333336,2.0186980825940473,2.017201220265224,331776
143000,18.868055555555557,2.0187073999009235,2.017204747777031,331776
143500,18.93402777777778,2.018740248071989,2.0173264602285226,331776
144000,19.0,2.018774333913334,2.017401076619959,331776
144500,19.06597222222222,2.01878712502858,2.017313703659453,331776
145000,19.131944444444446,2.0188163192336117,2.017565628016628,331776
145500,19.197916666666668,2.0188543458451145,2.0174886766925564,331776
146000,19.26388888888889,2.018880576394357,2.0175154990978474,331776
146500,19.32986111111111,2.01888721442594,2.017492498200487,331776
147000,19.395833333333336,2.0189283352981517,2.0174441355780632,331776
147500,19.461805555555557,2.018950299764538,2.017634141004466,331776
148000,19.52777777777778,2.0189660687265447,2.0175115077659194,331776
148500,19.59375,2.0189769789955614,2.0175830270071726,331776
149000,19.65972222222222,2.0190166376341625,2.0176055972155993,331776
149500,19.725694444444446,2.0190368658918625,2.017597219223263,331776
150000,19.791666666666668,2.0190741215190426,2.0176659668963666,331776
150500,19.85763888888889,2.0190791145999443,2.017645872302741,331776
151000,19.92361111111111,2.0191018969289773,2.0176682237394807,331776
151500,19.989583333333336,2.019136754907755,2.0177693955779317,331776
152000,20.055555555555557,2.0191300954988187,2.0178293251230475,331776
152500,20.12152777777778,2.0191662270428785,2.01750373997078,331776
153000,20.1875,2.019192207384007,2.017917301414263,331776
153500,20.25347222222222,2.019207788000831,2.017631696368765,331776
154000,20.319444444444446,2.0192215780952107,2.0179469498169524,331776
154500,20.385416666666668,2.019242377682425,2.0178165787752667,331776
155000,20.45138888888889,2.019248819097991,2.0179049572967744,331776
155500,20.51736111111111,2.0192748724050147,2.0179730984208573,331776
156000,20.583333333333336,2.0192956845123073,2.0179722406304643,331776
156500,20.649305555555557,2.0192970552050737,2.0178336516073356,331776
157000,20.71527777777778,2.0193173272648135,2.017784427892426,331776
157500,20.78125,2.019345774366687,2.017854782034462,331776
158000,20.84722222222222,2.019374776355399,2.0178293539292733,331776
158500,20.913194444444446,2.0193745709554944,2.0178767957392783,331776
159000,20.979166666666668,2.0193867928713867,2.0180329738453286,331776
159500,21.04513888888889,2.019376689752023,2.017887930725136,331776
160000,21.11111111111111,2.019438533182036,2.018289789351794,331776
160500,21.177083333333336,2.0194637173993826,2.0182476193588856,331776
161000,21.243055555555557,2.019456693048152,2.0180879878817164,331776
161500,21.30902777777778,2.019490333270985,2.018045656098913,331776
162000,21.375,2.0195142226426688,2.0179525759442916,331776
162500,21.44097222222222,2.0195167590567467,2.0180091821964448,331776
163000,21.506944444444446,2.0195066587904917,2.018196242800734,331776
163500,21.572916666666668,2.0195382095719716,2.018064056736576,331776
164000,21.63888888888889,2.0195454903460552,2.018100936959123,331776
164500,21.70486111111111,2.0195733621224297,2.018139884478892,331776
165000,21.770833333333336,2.0195807230610123,2.0183340941736247,331776
165500,21.836805555555557,2.019596855188186,2.018391336071555,331776
166000,21.90277777777778,2.0196288653797714,2.01808411167782,331776
166500,21.96875,2.019624802668483,2.018144548417169,331776
167000,22.03472222222222,2.0196121805118583,2.0182865604654348,331776
167500,22.100694444444446,2.0196342255637747,2.018209775445197,331776
168000,22.166666666666668,2.019643515861168,2.0182916293142874,331776
168500,22.23263888888889,2.019644361074005,2.018247730672733,331776
169000,22.29861111111111,2.01964907427231,2.018336404263845,331776
169500,22.364583333333336,2.0196860321126375,2.0181636339414446,331776
170000,22.430555555555557,2.0196714165721623,2.0183323551230674,331776
170500,22.49652777777778,2.0196873266104793,2.018236782781635,331776
171000,22.5625,2.0197001069926785,2.0184025277316424,331776
171500,22.62847222222222,2.0197013050804395,2.0183697988873766,331776
172000,22.694444444444446,2.0197112297547872,2.0182722404074145,331776
172500,22.760416666666668,2.019731763216245,2.0183686707029374,331776
173000,22.82638888888889,2.0197250654120094,2.0182563778907507,331776
173500,22.89236111111111,2.019741161588508,2.0182345833611124,331776
174000,22.958333333333336,2.019763061517617,2.018396109164938,331776
174500,23.024305555555557,2.019761589881143,2.018406887032942,331776
175000,23.09027777777778,2.019779595822801,2.0183514976659627,331776
175500,23.15625,2.0197747402833017,2.018218704191379,331776
176000,23.22222222222222,2.0197996753182585,2.0184935714802674,331776
176500,23.288194444444446,2.01979649441379,2.018327589424457,331776
177000,23.354166666666668,2.01979777220767,2.0183210923201313,331776
177500,23.42013888888889,2.019829575015171,2.018227574522606,331776
178000,23.48611111111111,2.019820031142218,2.0184332267136726,331776
178500,23.552083333333336,2.0198191363806655,2.018219957341916,331776
179000,23.618055555555557,2.0198383999411984,2.0184443656254856,331776
179500,23.68402777777778,2.0198201803994675,2.01843019384722,331776
180000,23.75,2.0198292609102917,2.018370802552533,331776
180500,23.81597222222222,2.0198419968185983,2.0185120001786445,331776
181000,23.881944444444446,2.0198603553113186,2.018515317400909,331776
181500,23.947916666666668,2.0198448379759046,2.0183303945378173,331776
182000,24.01388888888889,2.0198404002079986,2.018371188162413,331776
182500,24.07986111111111,2.019834043733217,2.018550742256998,331776
183000,24.145833333333336,2.0198531056884725,2.0182656850932728,331776
183500,24.211805555555557,2.019856209821466,2.0183524906464436,331776
184000,24.27777777777778,2.0198507532226686,2.0185086699506467,331776
184500,24.34375,2.0198293413516617,2.018401303686998,331776
185000,24.40972222222222,2.019849590577389,2.018395928736716,331776
185500,24.475694444444446,2.0198332013886167,2.018345155313791,331776
186000,24.541666666666668,2.0198387449718394,2.0183372867499374,331776
186500,24.60763888888889,2.01984301374525,2.018550110499879,331776
187000,24.67361111111111,2.0198430865332377,2.0185208324582415,331776
187500,24.739583333333336,2.0198421458120084,2.0184448960301076,331776
188000,24.805555555555557,2.01983062801246,2.0184343106461498,331776
188500,24.87152777777778,2.0198615393216612,2.018462601206751,331776
189000,24.9375,2.0198296446465753,2.0183687488532716,331776
189500,25.00347222222222,2.0198464413742165,2.018324528779344,331776
190000,25.069444444444446,2.0198200446739727,2.018432431237465,331776
190500,25.135416666666668,2.0198297416097035,2.0183348625920186,331776
191000,25.20138888888889,2.0198410677160488,2.0185826930721977,331776
191500,25.26736111111111,2.019812898471152,2.0184189577886915,331776
192000,25.333333333333336,2.0198213225833177,2.018167764808475,331776
192500,25.399305555555557,2.019839144318009,2.018404650285642,331776
193000,25.46527777777778,2.0198122090801736,2.0184831837967003,331776
193500,25.53125,2.019795887183782,2.018412809478551,331776
194000,25.59722222222222,2.019801027449638,2.0184241922681823,331776
194500,25.663194444444446,2.019796755916196,2.018403602018317,331776
195000,25.729166666666668,2.0198044334697833,2.0183380729278637,331776
195500,25.79513888888889,2.019798705462717,2.018367111926583,331776
196000,25.86111111111111,2.0197992948536245,2.0185884390449678,331776
196500,25.927083333333336,2.0197969557580397,2.0184002420855744,331776
197000,25.993055555555557,2.0198053765581374,2.018468155766807,331776
197500,26.05902777777778,2.0197919397053683,2.0183715204386727,331776
198000,26.125,2.0197945670006696,2.018421177568382,331776
198500,26.19097222222222,2.019764975384791,2.0185074209316527,331776
199000,26.256944444444446,2.01975600119513,2.018263950605281,331776
199500,26.32291666666667,2.0197750145819637,2.0183380172051555,331776
200000,26.38888888888889,2.0197632575546076,2.0184362724785907,331776
200500,26.454861111111114,2.019760366845437,2.018287633121833,331776
201000,26.520833333333332,2.0197300137774126,2.0182425799097397,331776
201500,26.586805555555557,2.0197100982214624,2.018095692149598,331776
202000,26.652777777777775,2.0197193019753543,2.0182235079628805,331776
202500,26.71875,2.0196901765395303,2.018449727213746,331776
203000,26.78472222222222,2.0196753945634662,2.018175110716527,331776
203500,26.850694444444446,2.0196801061641168,2.0183102870613228,331776
204000,26.91666666666667,2.0196600966763443,2.018300747941197,331776
204500,26.98263888888889,2.01965218872391,2.018181912563305,331776
205000,27.048611111111114,2.0196405554738766,2.018294499649322,331776
205500,27.114583333333332,2.019648797519047,2.018307901461558,331776
206000,27.180555555555557,2.019634490803334,2.018229668579459,331776
206500,27.246527777777775,2.0196112782052014,2.018304658785552,331776
207000,27.3125,2.019599898873104,2.0183236413417607,331776
207500,27.37847222222222,2.019573036198462,2.0180971047980063,331776
208000,27.444444444444446,2.0195727830042873,2.018266248817027,331776
208500,27.51041666666667,2.0195395456881813,2.0181402542339137,331776
209000,27.57638888888889,2.019520617877111,2.0180202730410586,331776
209500,27.642361111111114,2.019493521711604,2.018222496098038,331776
210000,27.708333333333332,2.0194943861282693,2.0181411704744576,331776
210500,27.774305555555557,2.0194837540901935,2.0181388825829303,331776
211000,27.840277777777775,2.019441045025481,2.0179639120306962,331776
211500,27.90625,2.019438340853146,2.018235621542426,331776
212000,27.97222222222222,2.0194150078378286,2.018058886123611,331776
212500,28.038194444444446,2.0193965835971484,2.017794177347592,331776
213000,28.10416666666667,2.0193516787072254,2.0180095904718858,331776
213500,28.17013888888889,2.0193625360478262,2.0178109846521606,331776
214000,28.236111111111114,2.0193443939798876,2.01794842740924,331776
214500,28.302083333333332,2.0193124091554484,2.01795401526549,331776
215000,28.368055555555557,2.0193093339283106,2.0179405075686745,331776
215500,28.434027777777775,2.019289364810273,2.01792529251637,331776
216000,28.5,2.0192717850555457,2.0178271985832605,331776
216500,28.56597222222222,2.0192419714256546,2.0178607375239777,331776
217000,28.631944444444446,2.019230492190851,2.0179045184976787,331776
217500,28.69791666666667,2.0192306180862745,2.017825209910458,331776
218000,28.76388888888889,2.019184500645381,2.0177762811523823,331776
218500,28.829861111111114,2.0191742859287314,2.0179101296788473,331776
219000,28.895833333333332,2.019146924873806,2.0176512466721497,331776
219500,28.961805555555557,2.0191035017339294,2.017838087826461,331776
220000,29.027777777777775,2.0191244264643995,2.0177101883284756,331776
220500,29.09375,2.019086601828653,2.017752462702851,331776
221000,29.15972222222222,2.0190562724597902,2.017656669609476,331776
221500,29.225694444444446,2.0190567621453956,2.0175583500421665,331776
222000,29.29166666666667,2.0190271232929984,2.017648980318782,331776
222500,29.35763888888889,2.0190122749842105,2.0175888387292016,331776
223000,29.423611111111114,2.018972392259326,2.0175625589344204,331776
