step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
4500,0.59375,low_y_high_z,-1.941678998535381e-09,2.3986257132017037e-06,1.0614135770048416e-05,1.0614135770048416e-05
4500,0.59375,high_y_low_z,4.880990483390136e-09,2.3934653249681125e-06,1.0602197906779843e-05,1.0602197906779843e-05
4500,0.59375,high_y_high_z,-1.5427372868878207e-08,2.405594001162304e-06,1.0587333461910688e-05,1.0587333461910688e-05
5000,0.6597222222222222,low_y_low_z,5.826403293358125e-09,2.3968047698514717e-06,1.0560308644576421e-05,1.0560308644576421e-05
5000,0.6597222222222222,low_y_high_z,-9.89605577170365e-09,2.3934021866905753e-06,1.0615461676606303e-05,1.0615461676606303e-05
5000,0.6597222222222222,high_y_low_z,3.773894435577474e-09,2.395892441672267e-06,1.0573055864657893e-05,1.0573055864657893e-05
5000,0.6597222222222222,high_y_high_z,-8.920996110987336e-09,2.402835863070977e-06,1.0617934983496465e-05,1.0617934983496465e-05
5500,0.7256944444444444,low_y_low_z,8.61797669163845e-09,2.375381024157905e-06,1.0588432048024142e-05,1.0588432048024142e-05
5500,0.7256944444444444,low_y_high_z,-4.815790243368761e-09,2.399260990599427e-06,1.0617988322651122e-05,1.0617988322651122e-05
5500,0.7256944444444444,high_y_low_z,2.761129665891305e-09,2.410101117560435e-06,1.060091109900291e-05,1.060091109900291e-05
5500,0.7256944444444444,high_y_high_z,-1.2075315222326386e-08,2.400213720926062e-06,1.0600379109045604e-05,1.0600379109045604e-05
6000,0.7916666666666667,low_y_low_z,7.221942809621163e-09,2.3838366986784203e-06,1.0603796860430824e-05,1.0603796860430824e-05
6000,0.7916666666666667,low_y_high_z,-1.9550436170783893e-09,2.385182651417994e-06,1.059548833698867e-05,1.059548833698867e-05
6000,0.7916666666666667,high_y_low_z,5.266124575721745e-09,2.401889471203448e-06,1.0617241173701056e-05,1.0617241173701056e-05
6000,0.7916666666666667,high_y_high_z,-1.7273261233979103e-08,2.4083156189915e-06,1.0586110989548478e-05,1.0586110989548478e-05
6500,0.857638888888889,low_y_low_z,8.314142716428083e-09,2.4044658877288202e-06,1.0612102008234094e-05,1.0612102008234094e-05
6500,0.857638888888889,low_y_high_z,-2.5765336179532967e-09,2.3922565821887717e-06,1.0575753633449676e-05,1.0575753633449676e-05
6500,0.857638888888889,high_y_low_z,9.102210096235768e-10,2.3965206400495965e-06,1.0587034541058983e-05,1.0587034541058983e-05
6500,0.857638888888889,high_y_high_z,-1.602280156607401e-08,2.411236096281838e-06,1.0589228287841821e-05,1.0589228287841821e-05
7000,0.9236111111111112,low_y_low_z,3.8421520599673e-09,2.3931893699818138e-06,1.0580493745804964e-05,1.0580493745804964e-05
7000,0.9236111111111112,low_y_high_z,-1.254553980490636e-09,2.3841132389129187e-06,1.0650954098988156e-05,1.0650954098988156e-05
7000,0.9236111111111112,high_y_low_z,2.767070176304029e-09,2.403004907154961e-06,1.0609879527354311e-05,1.0609879527354311e-05
7000,0.9236111111111112,high_y_high_z,-1.0888267308105161e-08,2.405077828088734e-06,1.0552721530322523e-05,1.0552721530322523e-05
7500,0.9895833333333335,low_y_low_z,1.8642449387389775e-09,2.3824134903804523e-06,1.0581970296326976e-05,1.0581970296326976e-05
7500,0.9895833333333335,low_y_high_z,-1.773180227689865e-09,2.3976797068033127e-06,1.0605135371861415e-05,1.0605135371861415e-05
7500,0.9895833333333335,high_y_low_z,2.8198335781186617e-09,2.3860673904586933e-06,1.0597822509033171e-05,1.0597822509033171e-05
7500,0.9895833333333335,high_y_high_z,-9.965290752013797e-09,2.393609208834685e-06,1.0604040356538275e-05,1.0604040356538275e-05
8000,1.0555555555555556,low_y_low_z,-1.1280168763572392e-09,2.398521763780863e-06,1.058962235259602e-05,1.058962235259602e-05
8000,1.0555555555555556,low_y_high_z,-4.548172057650638e-09,2.3991725063019777e-06,1.0625442260670047e-05,1.0625442260670047e-05
8000,1.0555555555555556,high_y_low_z,3.279140695131463e-09,2.3840800997743563e-06,1.059816248499853e-05,1.059816248499853e-05
8000,1.0555555555555556,high_y_high_z,-6.1921621220690105e-09,2.3821741697437543e-06,1.0629880457528993e-05,1.0629880457528993e-05
8500,1.121527777777778,low_y_low_z,-3.84656256132211e-09,2.4041535839409347e-06,1.0549036133079468e-05,1.0549036133079468e-05
8500,1.121527777777778,low_y_high_z,-1.42995041504248e-08,2.3899039076853916e-06,1.063538737350578e-05,1.063538737350578e-05
8500,1.121527777777778,high_y_low_z,8.30917957523301e-09,2.4015785620104163e-06,1.059602127918029e-05,1.059602127918029e-05
8500,1.121527777777778,high_y_high_z,1.0692969664954402e-09,2.3935389588542616e-06,1.0621983698656937e-05,1.0621983698656937e-05
9000,1.1875,low_y_low_z,-1.124618481469392e-09,2.392658945146756e-06,1.0604134498988905e-05,1.0604134498988905e-05
9000,1.1875,low_y_high_z,-1.1517458855176436e-08,2.3917728531401236e-06,1.0568474461851078e-05,1.0568474461851078e-05
9000,1.1875,high_y_low_z,6.846799241124425e-09,2.399398942100624e-06,1.0596656602370614e-05,1.0596656602370614e-05
9000,1.1875,high_y_high_z,-7.636584084162998e-10,2.3801566126817466e-06,1.0571660077437957e-05,1.0571660077437957e-05
9500,1.2534722222222223,low_y_low_z,-3.880489309317902e-09,2.393012812941827e-06,1.0544955572495376e-05,1.0544955572495376e-05
9500,1.2534722222222223,low_y_high_z,-1.4539030469632539e-08,2.407159830852825e-06,1.0587620572932628e-05,1.0587620572932628e-05
9500,1.2534722222222223,high_y_low_z,9.373271710642524e-09,2.385469285257706e-06,1.0566156671579778e-05,1.0566156671579778e-05
9500,1.2534722222222223,high_y_high_z,1.998125820665121e-09,2.3835153438204306e-06,1.0588190661778279e-05,1.0588190661778279e-05
10000,1.3194444444444444,low_y_low_z,2.1389983457066858e-09,2.388331572171933e-06,1.056364388297571e-05,1.056364388297571e-05
10000,1.3194444444444444,low_y_high_z,-1.8465023670884132e-08,2.397470221362477e-06,1.057687661053569e-05,1.057687661053569e-05
10000,1.3194444444444444,high_y_low_z,9.132370909129526e-09,2.3962747081223467e-06,1.0594234899896933e-05,1.0594234899896933e-05
10000,1.3194444444444444,high_y_high_z,-1.3454592547069964e-10,2.391270847229136e-06,1.059031778488155e-05,1.059031778488155e-05
10500,1.3854166666666667,low_y_low_z,7.89091071130706e-09,2.393011081726732e-06,1.0585042698015264e-05,1.0585042698015264e-05
10500,1.3854166666666667,low_y_high_z,-1.5298695713267925e-08,2.398117668531658e-06,1.0609619707205493e-05,1.0609619707205493e-05
10500,1.3854166666666667,high_y_low_z,4.926834094236216e-09,2.398068688093124e-06,1.0582838807861384e-05,1.0582838807861384e-05
