step,omega_ci_t,A_mean,A_median,A_p10,A_p90,T_parallel_mean,T_perp_mean,beta_parallel_mean,beta_parallel_median
0,0.0,2.0035727308028006,2.000055089169411,1.8653155886384247,2.1463098283585547,0.01598162920853767,0.03195626584437689,4.994213636381278,4.991099796485479
500,0.06597222222222222,2.001465638148317,2.000241578790166,1.908865068593291,2.09571286864747,0.015987360174549093,0.03196987145210588,4.995331704855581,4.992791188364736
1000,0.13194444444444445,2.0015975763890888,2.000372931413991,1.9087266694461478,2.0959739061590605,0.01598473036302892,0.03196647565057155,4.994249002873093,4.991899558476845
1500,0.19791666666666669,2.001689502839451,2.0003385410021726,1.9089217028653183,2.095989721311483,0.015982243084507086,0.03196314471689361,4.993323193213168,4.99078149179466
2000,0.2638888888888889,2.001806511783588,2.0004627418011784,1.9092676120493346,2.096340451540997,0.015979669557625076,0.03195972390127068,4.992451461173421,4.989684019709001
2500,0.3298611111111111,2.001917085715308,2.0005022309695866,1.9092932428494453,2.0964486157821387,0.015977144910005205,0.03195649446892154,4.991641013130038,4.9887971899591825
3000,0.39583333333333337,2.0020286230760598,2.000430195835224,1.9091602209938474,2.0968135697149313,0.015974622976838302,0.031953023888099875,4.9908111931770245,4.988326544153079
3500,0.4618055555555556,2.002124713116723,2.000799494690362,1.9096259047925543,2.096673705114947,0.015972104730339193,0.03194964476721546,4.990010577492022,4.987413110286225
4000,0.5277777777777778,2.0022460145257206,2.0008977856750745,1.9094094689883194,2.0971052592497124,0.015969517421779073,0.03194634751447227,4.989198198932882,4.98620609300264
4500,0.59375,2.002337761395782,2.00099128421694,1.9094666526886255,2.0969958529442723,0.01596708618297582,0.03194300374708225,4.98844499075163,4.985817681249456
5000,0.6597222222222222,2.0024430364808348,2.001046239330778,1.9097544603275938,2.096928744400308,0.015964589467323403,0.03193970045837628,4.987664225855618,4.984804593756331
5500,0.7256944444444444,2.0025459529418725,2.0011211596592533,1.9096966296890026,2.0970826315495557,0.01596209756389118,0.03193632443433404,4.9868905231094764,4.984298484620076
6000,0.7916666666666667,2.0026572851862467,2.001312780616344,1.9096759509520167,2.097469585806144,0.01595961216463466,0.031932987771160895,4.986111640517821,4.9831433020388545
6500,0.857638888888889,2.002746263644961,2.0013905911061336,1.9100140779070318,2.0974335294040163,0.015957119221307194,0.031929650194898004,4.985336749409095,4.982079046252267
7000,0.9236111111111112,2.0028537541026874,2.001551751964862,1.9099040322520229,2.0975616910157777,0.01595465594882187,0.03192629904923602,4.98458260652795,4.981835321041382
7500,0.9895833333333335,2.0029515137374836,2.001671423364842,1.9099724449610247,2.097745237029585,0.01595226994900049,0.03192303057081776,4.983796890161784,4.980805184133761
8000,1.0555555555555556,2.0030472253603016,2.001658832942296,1.9102322308571358,2.09753126390987,0.015949755955131466,0.03191962580265478,4.983042399390599,4.979734253149266
8500,1.121527777777778,2.003143770073959,2.0017854277784064,1.9103992796802816,2.0975912112562956,0.01594728766490667,0.03191636303197872,4.98225678676812,4.97945580856945
9000,1.1875,2.0032483544770217,2.0018637673754993,1.9102065235454946,2.097842407282201,0.01594480826966605,0.0319130841054818,4.981513304428317,4.978551813391405
9500,1.2534722222222223,2.0033608893314976,2.002018776314719,1.910481394709921,2.0981642943670646,0.01594235988760764,0.03190975012858993,4.980740376646639,4.977515308052943
10000,1.3194444444444444,2.0034602475696612,2.0019219651272753,1.9104746418124279,2.0980132375989555,0.01593987683392113,0.03190639279562633,4.979980545286809,4.976628872550869
10500,1.3854166666666667,2.0035447573128513,2.0019724549892466,1.9107902703994704,2.0982146812488134,0.015937463746873097,0.031903007434297165,4.979211923291774,4.976698444682659
11000,1.4513888888888888,2.0036455323585782,2.002202440225309,1.9108691116526497,2.0983713771117616,0.01593504581563138,0.03189976032881127,4.978486424345577,4.97543852479226
11500,1.5173611111111112,2.00373193858508,2.0022277762124645,1.9112078480690804,2.0981750794447573,0.015932620502880447,0.03189641383780149,4.9777180160000984,4.974879225748141
