step,omega_ci_t,E_kin_bulk,E_kin_thermal,E_internal_i,E_internal_e,E_B,E_total,energy_error
0,0.0,1.718616229528588e-07,0.040068351680933624,0.040068351680933624,nan,1.598721158438076e-18,0.04006852354255658,0.0
10000,1.3194444444444444,2.9772093631725216e-08,0.03977947921199422,0.03977947921199422,nan,1.7285031657495667e-07,0.039779681834404425,-0.007208693573282671
20000,2.638888888888889,1.495728219453838e-07,0.039877707826736754,0.03987770782673675,nan,2.321578833989382e-07,0.0398780895574421,-0.004752707818450582
30000,3.958333333333334,5.933898871192173e-07,0.03972229636406549,0.039722296364065476,nan,2.8143552772436726e-07,0.03972317118948033,-0.008619043641811557
40000,5.277777777777778,1.7127156346860671e-07,0.0395872731674467,0.0395872731674467,nan,3.240123635124718e-07,0.039587768451373684,-0.011998323089501573
50000,6.597222222222222,9.014004577464264e-08,0.03960534947260238,0.039605349472602386,nan,3.6193255295377165e-07,0.03960580154520111,-0.011548266730218137
60000,7.916666666666668,4.1143669089971765e-08,0.039586555460397105,0.039586555460397105,nan,3.947421281177709e-07,0.03958699134619431,-0.01201771749465222
70000,9.23611111111111,2.509137164431361e-07,0.039349297300596296,0.0393492973005963,nan,4.3051431919235007e-07,0.03934997872863193,-0.017932899702717563
80000,10.555555555555555,2.671606820710933e-07,0.03923978893016137,0.039239788930161355,nan,4.6158322352190096e-07,0.039240517674066965,-0.02066474617189706
90000,11.875,1.6781736849671233e-08,0.039145989239414605,0.039145989239414605,nan,4.889214198823831e-07,0.03914649494257134,-0.023011294613986922
100000,13.194444444444445,1.844634714330276e-07,0.039107700041479274,0.039107700041479274,nan,5.164194454167952e-07,0.039108400924396124,-0.023962016397752035
110000,14.513888888888888,8.294716483979232e-08,0.03905638295150736,0.03905638295150735,nan,5.414302548626946e-07,0.03905700732892706,-0.02524465900409818
120000,15.833333333333336,1.2777452479636652e-07,0.03890304518400632,0.03890304518400632,nan,5.713664398089108e-07,0.03890374432497092,-0.029069681500705893
130000,17.15277777777778,1.3029236428061215e-07,0.038947873350000314,0.038947873350000314,nan,5.93966229717374e-07,0.03894859760859431,-0.027950267066187296
140000,18.47222222222222,1.4099337613515134e-07,0.038733766826937986,0.03873376682693798,nan,6.134135498900268e-07,0.03873452123386401,-0.03329302381895176
150000,19.791666666666668,2.574157347594105e-07,0.038636632698288244,0.03863663269828825,nan,6.405665956581766e-07,0.03863753068061866,-0.035713640918614474
160000,21.11111111111111,9.880759459419325e-08,0.038635449237700854,0.03863544923770086,nan,6.639597248705046e-07,0.03863621200502032,-0.0357465514299524
170000,22.430555555555557,1.5489434036252147e-07,0.03856384415629745,0.03856384415629745,nan,6.855844623006816e-07,0.038564684635100106,-0.037531677598732875
180000,23.75,2.824536932745398e-07,0.03853964645087614,0.038539646450876146,nan,7.100931990805117e-07,0.038540638997768495,-0.03813179048549978
190000,25.069444444444446,2.874321580416554e-08,0.03834579053588535,0.038345790535885334,nan,7.279265819563886e-07,0.03834654720568311,-0.04297578709244338
200000,26.38888888888889,1.5057324592278503e-07,0.03822083707002221,0.03822083707002221,nan,7.505303565645036e-07,0.038221738173624696,-0.046090676811947416
210000,27.708333333333332,2.5713612150470664e-09,0.03819822590873524,0.03819822590873524,nan,7.724176872849449e-07,0.03819900089778374,-0.04665813659909947
220000,29.027777777777775,1.225356557593845e-07,0.038177185710302056,0.03817718571030205,nan,7.97852896045442e-07,0.03817810609885386,-0.0471796132366823
230000,30.34722222222222,4.187161976129994e-07,0.037977352477008515,0.03797735247700852,nan,8.182200505294391e-07,0.03797858941325665,-0.05215900024567209
