step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
6500,0.857638888888889,0.0005434588659834309,0.006793235824792887,0.0005430041590463889,0.006787551988079862,0.0015616277974631178,0.01952034746828897,0.07752495541351134,0.030938057331108215,0.15174997588734568,1.4767376950799836e-07
7000,0.9236111111111112,0.000551301009020289,0.006891262612753612,0.000550870664367061,0.006885883304588262,0.0015670082175473783,0.019587602719342227,0.07756011378323042,0.030498577709619723,0.15221715856481483,1.5196640127339436e-07
7500,0.9895833333333335,0.0005556763329437846,0.006945954161797307,0.0005552256668608503,0.006940320835760629,0.0015772505998995357,0.019715632498744196,0.07739549207960088,0.03255634900498905,0.15210563753858025,1.5438809349692584e-07
8000,1.0555555555555556,0.0005669145865058484,0.0070864323313231045,0.0005664724825236978,0.007080906031546223,0.001582087775446053,0.019776097193075663,0.07740231914391335,0.03247101070108316,0.1520091869212963,1.6069607419654852e-07
8500,1.121527777777778,0.0005709344314528904,0.00713668039316113,0.0005705024399104224,0.00713128049888028,0.0015872468577626633,0.01984058572203329,0.07751513995201438,0.031060750599820275,0.15239197530864199,1.629830625092176e-07
9000,1.1875,0.0005777280121961965,0.007221600152452457,0.000577320827128949,0.007216510339111862,0.0015920958524104163,0.019901198155130202,0.07735447526618491,0.03306905917268865,0.15284107349537038,1.6688482803808428e-07
9500,1.2534722222222223,0.0005847298477071598,0.007309123096339497,0.0005843252370077495,0.007304065462596868,0.0015964834390068013,0.019956042987585014,0.07739241081286902,0.032594864839137316,0.15269941165123457,1.709544973998191e-07
10000,1.3194444444444444,0.0005879631222703626,0.007349539028379533,0.0005875849898014992,0.007344812372518739,0.0016026102311486063,0.020032627889357578,0.07692918652555894,0.03838516843051332,0.1524070457175926,1.7285031657495667e-07
10500,1.3854166666666667,0.000592694537936795,0.007408681724209937,0.0005922573808877562,0.007403217261096953,0.0016075741006018765,0.020094676257523456,0.07713414911165625,0.03582313610429688,0.15162037037037038,1.7564340765005546e-07
11000,1.4513888888888888,0.0006000848276359154,0.007501060345448942,0.0005996089855781719,0.007495112319727148,0.0016104061320412427,0.020130076650515534,0.07701320696453923,0.037334912943259635,0.1524100597993827,1.8005090017941313e-07
11500,1.5173611111111112,0.0006070937784377005,0.007588672230471257,0.0006066597062744578,0.007583246328430723,0.0016179040843530925,0.020223801054413657,0.07743664336315832,0.032041957960521006,0.1530098620756173,1.8428142790888188e-07
12000,1.5833333333333335,0.0006106052727257199,0.007632565909071499,0.0006102099279586383,0.007627624099482979,0.001620973090720695,0.020262163634008686,0.07728696820772302,0.03391289740346226,0.15239197530864199,1.864193995402254e-07
12500,1.6493055555555556,0.000614625346906892,0.00768281683633615,0.0006141934943253655,0.007677418679067069,0.0016217950171251464,0.02027243771406433,0.07720570823819647,0.03492864702254406,0.15250952449845678,1.8888215853020872e-07
13000,1.715277777777778,0.0006196379867503575,0.007745474834379468,0.000619247808593469,0.007740597607418363,0.0016280607828965917,0.020350759786207397,0.07723039213058305,0.03462009836771185,0.15273558063271606,1.9197561731201807e-07
13500,1.78125,0.0006233983509671169,0.0077924793870889604,0.0006229703514200847,0.0077871293927510585,0.0016338611297393956,0.020423264121742443,0.07725716743455885,0.03428540706801442,0.15219907407407407,1.943127519942603e-07
14000,1.8472222222222223,0.0006300751784310871,0.007875939730388588,0.0006296488128273028,0.007870610160341284,0.0016347228765130914,0.020434035956413642,0.07732790132576976,0.03340123342787793,0.15273558063271606,1.9849736523748309e-07
14500,1.9131944444444446,0.0006374849675399774,0.007968562094249718,0.0006370681540793601,0.007963351925992002,0.001642291836342114,0.020528647954276426,0.07675302094823491,0.040587238147063665,0.15280791859567902,2.03193541919723e-07
15000,1.979166666666667,0.0006385258230946845,0.007981572788683555,0.0006381490039569055,0.007976862549461318,0.0016434065074382267,0.020542581342977834,0.07712563822733648,0.035929522158294036,0.15286820023148148,2.038576133793721e-07
15500,2.045138888888889,0.0006440131998040034,0.008050164997550043,0.0006436313907669686,0.008045392384587107,0.001649237614491086,0.020615470181138577,0.07707037324981163,0.03662033437735468,0.1524191020447531,2.0737650076089563e-07
16000,2.111111111111111,0.0006485273922516957,0.008106592403146196,0.0006481467303181805,0.008101834128977256,0.001653590128599252,0.020669876607490652,0.07702579837663498,0.03717752029206278,0.15259693287037038,2.1029388925039243e-07
16500,2.1770833333333335,0.0006521741420582587,0.008152176775728232,0.0006517989217536655,0.008147486521920818,0.001656994535648556,0.02071243169560695,0.07702515991099645,0.03718550111254437,0.1527657214506173,2.126655557847129e-07
17000,2.243055555555556,0.0006593963760675123,0.008242454700843903,0.0006589809000596959,0.008237261250746199,0.0016655103724619756,0.020818879655774693,0.07670560655873189,0.04117991801585141,0.15199110243055555,2.174017903854841e-07
17500,2.3090277777777777,0.0006626726475628907,0.008283408094536133,0.0006622255882997664,0.00827781985374708,0.0016644262032983078,0.020805327541228845,0.07696038172595754,0.037995228425530825,0.1526150173611111,2.195675189140056e-07
18000,2.375,0.0006659877984997951,0.008324847481247438,0.0006655542090970951,0.008319427613713688,0.0016651130051327412,0.020813912564159265,0.07695565601081983,0.03805429986475217,0.15238896122685186,2.2176987387530182e-07
18500,2.4409722222222223,0.0006726528591450701,0.008408160739313376,0.0006722033924226993,0.008402542405283741,0.0016652286784968624,0.02081535848121078,0.0769815572613547,0.03773053423306638,0.1522804542824074,2.2623093445801875e-07
19000,2.5069444444444446,0.0006742058977963218,0.008427573722454021,0.0006737677318189312,0.00842209664773664,0.0016727917817229729,0.02090989727153716,0.07672185575781691,0.040976803027288566,0.15206946855709877,2.2727679631167213e-07
19500,2.572916666666667,0.0006778820873284256,0.008473526091605321,0.0006774918024737803,0.008468647530922253,0.0016750102678065684,0.020937628347582105,0.07692318785422503,0.038460151822187205,0.15246431327160495,2.297620621603716e-07
20000,2.638888888888889,0.0006814071960273654,0.008517589950342068,0.0006810195629731948,0.008512744537164935,0.0016763392178453284,0.020954240223066602,0.07692960784373255,0.038379901953343065,0.15269338348765432,2.321578833989382e-07
20500,2.704861111111111,0.0006858245433373766,0.008572806791717208,0.0006854594862210616,0.00856824357776327,0.0016825476008016915,0.021031845010021144,0.07694353346498048,0.03820583168774405,0.15281093267746915,2.3517765212196062e-07
21000,2.7708333333333335,0.000689751824060811,0.008621897800760137,0.0006893261949662193,0.00861657743707774,0.001686936549636875,0.021086706870460936,0.07674875139431696,0.040640607571038045,0.15218400366512347,2.37878789397608e-07
21500,2.836805555555556,0.0006915438254438069,0.008644297818047587,0.0006911631908869292,0.008639539886086614,0.0016876087630335684,0.021095109537919605,0.07693128983851498,0.038358877018562776,0.1529465663580247,2.391164312547272e-07
22000,2.9027777777777777,0.0006945122557102265,0.008681403196377831,0.0006941083989989822,0.008676354987487277,0.0016893426853537912,0.02111678356692239,0.07667730515978358,0.04153368550270531,0.1524191020447531,2.4117363666585354e-07
22500,2.96875,0.000699348774732965,0.008741859684162061,0.0006989768672756116,0.008737210840945146,0.0016904342506134022,0.021130428132667526,0.07692763891821884,0.03840451352226448,0.1527928481867284,2.445443543602497e-07
23000,3.0347222222222223,0.0007053293033662295,0.008816616292077868,0.0007049156429815957,0.008811445537269945,0.0016982080356171434,0.021227600445214292,0.07685647581535215,0.039294052308098126,0.1527416087962963,2.4874471309354525e-07
23500,3.1006944444444446,0.0007066640504900866,0.008833300631126082,0.0007062050843193594,0.008827563553991993,0.001699949638858571,0.021249370485732135,0.07665003428629931,0.04187457142125861,0.1518946518132716,2.496870401275278e-07
24000,3.166666666666667,0.000712117886114227,0.008901473576427838,0.0007117081293957895,0.008896351617447368,0.0017042605994548653,0.021303257493185814,0.07676660725884314,0.04041740926446069,0.1526270736882716,2.535559418618976e-07
24500,3.232638888888889,0.00071479757319945,0.008934969664993126,0.0007144277072170271,0.00893034634021284,0.0017042602925746596,0.021303253657183243,0.07662919596335951,0.04213505045800614,0.15185848283179013,2.5546778532591155e-07
25000,3.298611111111111,0.0007192874506240349,0.008991093132800436,0.000718916853927462,0.008986460674093276,0.0017040200318570984,0.02130025039821373,0.07684474256638374,0.039440717920203316,0.15229552469135801,2.586872183126117e-07
25500,3.364583333333334,0.0007211481665989265,0.009014352082486582,0.0007207939436815058,0.009009924296018823,0.0017088865210877484,0.021361081513596857,0.07698253107092547,0.03771836161343167,0.1525607638888889,2.6002733909449655e-07
26000,3.430555555555556,0.0007267895008035014,0.009084868760043767,0.0007263716849181512,0.00907964606147689,0.0017146825509789978,0.021433531887237473,0.07655400844197612,0.04307489447529855,0.15257884837962962,2.6411148923910136e-07
26500,3.4965277777777777,0.0007277154582001628,0.009096443227502036,0.0007273517943340203,0.009091897429175254,0.0017149848589551847,0.02143731073693981,0.07677230075539683,0.04034624055753966,0.15255774980709877,2.6478489405173644e-07
27000,3.5625,0.0007316102838602716,0.009145128548253395,0.0007312103067696154,0.009140128834620192,0.0017223461331590895,0.02152932666448862,0.07629237976098599,0.04634525298767511,0.15300383391203703,2.676268037250536e-07
27500,3.628472222222222,0.0007328006809623062,0.009160008512028828,0.0007324003162503706,0.009155003953129633,0.0017221127651018252,0.021526409563772816,0.07688405695549017,0.03894928805637299,0.1533715518904321,2.684984190094099e-07
28000,3.6944444444444446,0.000732531540774045,0.009156644259675563,0.000732186327823401,0.009152329097792513,0.0017245471595998556,0.021556839494998193,0.07669408874908962,0.041323890636379756,0.1532690731095679,2.683012291143982e-07
28500,3.7604166666666665,0.0007383658563236148,0.009229573204045185,0.000737997141208656,0.0092249642651082,0.0017226893181243978,0.02153361647655497,0.07655975877953143,0.04300301525585715,0.15336552372685186,2.725920688922525e-07
29000,3.8263888888888893,0.0007449759119687075,0.009312198899608843,0.000744625943369427,0.009307824292117838,0.001727898671142132,0.021598733389276648,0.07680931595183177,0.03988355060210291,0.15285614390432098,2.774945547068037e-07
29500,3.892361111111111,0.000743332355947656,0.0092916544493457,0.0007429413297345531,0.009286766621681914,0.0017334294916764121,0.02166786864595515,0.07678211663113585,0.040223542110801924,0.15293752411265432,2.762714956993464e-07
30000,3.958333333333334,0.000750247329517896,0.0093780916189737,0.0007498570590617206,0.009373213238271507,0.0017349726065519135,0.02168715758189892,0.07632051721693976,0.045993534788252965,0.15290436921296297,2.8143552772436726e-07
30500,4.024305555555555,0.0007529437802526243,0.009411797253157803,0.0007525784839173393,0.00940723104896674,0.0017387510987569206,0.021734388734461506,0.07660220026209864,0.04247249672376696,0.15281093267746915,2.8346216811055607e-07
31000,4.090277777777778,0.0007571363256246807,0.00946420407030851,0.0007566800485509621,0.009458500606887027,0.0017386396773030474,0.021732995966288093,0.07655625313412036,0.043046835823495555,0.15291039737654322,2.866277077902213e-07
31500,4.15625,0.0007585111662503922,0.009481389578129901,0.0007581358638325205,0.009476698297906507,0.0017413112377311646,0.021766390471639557,0.07659365461385996,0.042579317326750465,0.15224729938271606,2.8766959466326506e-07
32000,4.222222222222222,0.0007590546952511575,0.009488183690639468,0.0007587496753987776,0.00948437094248472,0.0017453983249983611,0.021817479062479512,0.07681259824529715,0.03984252193378557,0.15266625675154322,2.8808201519141386e-07
32500,4.288194444444445,0.0007624998575745703,0.00953124821968213,0.0007621339570905385,0.00952667446363173,0.0017480475393749858,0.021850594242187323,0.07646849922923475,0.04414375963456563,0.1520875530478395,2.9070301640062e-07
33000,4.354166666666667,0.0007652915261670019,0.009566144077087523,0.0007648714459054598,0.009560893073818248,0.0017502600167401791,0.02187825020925224,0.07635157577530167,0.0456053028087291,0.1526632426697531,2.9283556001150944e-07
33500,4.420138888888889,0.0007695108492285589,0.009618885615356986,0.0007692345819084272,0.00961543227385534,0.0017523650400073942,0.021904563000092428,0.07632715692524791,0.04591053843440107,0.15266022858796297,2.96073473540229e-07
34000,4.486111111111112,0.0007730188849869037,0.009662736062336296,0.0007726486294243864,0.00965810786780483,0.0017588762828130722,0.021985953535163402,0.07659727793308857,0.042534025836392875,0.15278983410493827,2.9877909827319797e-07
34500,4.552083333333334,0.0007769110784569381,0.009711388480711727,0.0007765253084670186,0.009706566355837732,0.0017559121000703763,0.021948901250879702,0.07666865853047647,0.04164176836904421,0.15305205922067902,3.0179541191456137e-07
35000,4.618055555555555,0.0007767182940487025,0.00970897867560878,0.0007763289271363032,0.00970411158920379,0.0017601927160076317,0.022002408950095396,0.0764176412074369,0.04477948490703887,0.1533474392361111,3.0164565415496337e-07
35500,4.684027777777778,0.0007814669184003255,0.009768336480004068,0.0007811134137180533,0.009763917671475665,0.0017604208765197662,0.022005260956497078,0.07633891127835123,0.04576360902060972,0.15230155285493827,3.0534527227705047e-07
36000,4.75,0.0007837850186681179,0.009797312733351474,0.0007834113188799849,0.009792641485999811,0.0017652362039566319,0.0220654525494579,0.07652120240781418,0.043484969902322756,0.15270845389660495,3.07159477744291e-07
36500,4.815972222222222,0.0007864613150762992,0.00983076643845374,0.0007861151426767577,0.00982643928345947,0.0017645801630854893,0.022057252038568616,0.07656596291123031,0.04292546360962113,0.15318467881944445,3.09260700055771e-07
37000,4.881944444444445,0.0007889466305543027,0.009861832881928783,0.0007885970145279547,0.009857462681599434,0.0017664781910803112,0.02208097738850389,0.07649685333587922,0.0437893333015098,0.15283203125,3.1121839293149367e-07
37500,4.947916666666667,0.0007933105774261831,0.009916382217827289,0.0007929571685346159,0.0099119646066827,0.0017671534053950134,0.022089417567437666,0.07650017863387738,0.04374776707653272,0.15146363811728394,3.14670836128132e-07
38000,5.013888888888889,0.0007943969534710586,0.009929961918388231,0.0007939877986702973,0.009924847483378716,0.001771411262992869,0.022142640787410864,0.0760812827565926,0.048983965542592545,0.1519308207947531,3.155332598420496e-07
38500,5.079861111111112,0.0007961612350927335,0.009952015438659168,0.000795787296040988,0.00994734120051235,0.001774378947493101,0.022179736843663762,0.07631122441277109,0.046109694840361315,0.1522774402006173,3.1693635613219336e-07
39000,5.145833333333334,0.000798722316379215,0.009984028954740187,0.0007983653453947696,0.00997956681743462,0.0017768178115927613,0.022210222644909516,0.076523798554994,0.043452518062574996,0.15273256655092593,3.189786693410894e-07
39500,5.211805555555555,0.0008014512785549084,0.010018140981936355,0.0008011574633488234,0.010014468291860293,0.0017806477201998826,0.02225809650249853,0.07605799476145189,0.04927506548185134,0.15244020061728394,3.211620759486487e-07
40000,5.277777777777778,0.0008049998304502576,0.01006249788062822,0.0008046543021098734,0.010058178776373418,0.001782322387817453,0.022279029847718162,0.07652064718426115,0.043491910196735706,0.1528983410493827,3.240123635124718e-07
40500,5.34375,0.0008065328043987321,0.01008166005498415,0.0008061874487669121,0.010077343109586401,0.0017864203757479672,0.02233025469684959,0.07625172821315263,0.04685339733559224,0.1522774402006173,3.252475822856417e-07
41000,5.409722222222222,0.0008102556832674768,0.01012819604084346,0.0008098194043091177,0.01012274255386397,0.0017875352428621564,0.022344190535776954,0.07638837338289904,0.045145332713761976,0.15354636863425927,3.282571361336229e-07
