step,omega_ci_t,plane,axis0,axis1,delta_axis0,delta_axis1,peak_k,peak_power,power_law_slope,power_law_rvalue
0,0.0,yz,z,y,0.034722222222222224,0.034722222222222224,nan,nan,nan,nan
300000,39.583333333333336,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,5.838064040828495e-07,0.3458374239979531,0.5961457688190935
600000,79.16666666666667,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,0.00021680208083531123,0.3470791743355033,0.6209155102812447
900000,118.75,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,0.00037554634759865547,0.3853065307321564,0.6681087662470322
1200000,158.33333333333334,yz,z,y,0.034722222222222224,0.034722222222222224,0.5357579968756494,0.0003447214849177196,0.37485153191868054,0.6259745601459299
