step,omega_ci_t,T_parallel_i,T_perp_i,A_i,R_i,beta_parallel_i,ion_count,T_parallel_e,T_perp_e,A_e,q_parallel_particle,q_perp_particle,E_kin_bulk,E_kin_thermal
0,0.0,0.01603407112729698,0.032051316117285136,1.9989506010560114,0.5002624874630304,5.010647227280305,249703,0.0032038475622099614,0.0031994703893569072,0.9986337761806511,-9.617571562474455e-07,0.0008901209263101134,1.718616229528588e-07,0.040068351680933624
10000,1.3194444444444444,0.015903012224633573,0.031827973099677435,2.0013801567967286,0.49965519874071856,4.969691320197992,249296,0.003303320754567052,0.003286794433160843,0.9949970582228929,-2.5281142669355554e-07,0.0008800368226076303,2.9772093631725216e-08,0.03977947921199422
20000,2.638888888888889,0.015907551911136523,0.03192393187116849,2.0068412820214814,0.49829550994322025,4.971109972230163,249599,0.0034044849055162776,0.0033604898424443863,0.987077321740917,-6.273762674090554e-07,0.000883421030869718,1.495728219453838e-07,0.039877707826736754
30000,3.958333333333334,0.015840079945842078,0.03180225639114444,2.007708073436355,0.498080379927157,4.950024983075649,249815,0.003500365866440885,0.0034486788365602943,0.9852338207339608,-4.183986340930126e-07,0.0008790014615919021,5.933898871192173e-07,0.03972229636406549
40000,5.277777777777778,0.01584571994108111,0.031664413196906147,1.9982943857800992,0.5004267675053381,4.951787481587846,249995,0.0036159050528761626,0.0035476264693286245,0.9811171525388289,-7.370693192115866e-07,0.0008736966055138946,1.7127156346860671e-07,0.0395872731674467
50000,6.597222222222222,0.015885912904747307,0.03166239302022873,1.993111331409026,0.5017281193685513,4.964347782733533,250522,0.003705804729905358,0.0036346223721946134,0.9807916598690933,-1.6352487105638178e-07,0.0008737727438594211,9.014004577464264e-08,0.03960534947260238
60000,7.916666666666668,0.015729672562262327,0.03172171917926594,2.016680198122544,0.4958644414374493,4.915522675706977,249415,0.003806021053775073,0.0037440164807068135,0.9837088202634194,-1.7070401399970387e-07,0.0008743210359725678,4.1143669089971765e-08,0.039586555460397105
70000,9.23611111111111,0.01568105478721482,0.03150876990698889,2.009352708382782,0.4976727061546328,4.900329621004631,249769,0.0038848781963141234,0.003835094775167477,0.9871853328132965,8.932001069803512e-07,0.0008677776791525785,2.509137164431361e-07,0.039349297300596296
80000,10.555555555555555,0.015624098863153529,0.03142773949858459,2.011491336162814,0.49714357801194037,4.882530894735478,249962,0.004000827083968756,0.003930912302450525,0.9825249179604941,-8.232505703089468e-08,0.000863227238863451,2.671606820710933e-07,0.03923978893016137
90000,11.875,0.015629932065304164,0.03133102320676252,2.0045527437903683,0.49886439910237534,4.884353770407551,250278,0.004094943741335992,0.004018735154622038,0.981389588837406,1.5796529866176727e-07,0.0008600872285963669,1.6781736849671233e-08,0.039145989239414605
100000,13.194444444444445,0.01557280453193726,0.03132129777551064,2.011281764390981,0.49719537943645675,4.866501416230394,249591,0.004193445698404793,0.004120000892733817,0.9824858097723992,4.3877913677703473e-07,0.0008590452893743387,1.844634714330276e-07,0.039107700041479274
110000,14.513888888888888,0.015526994076286521,0.03129288591336409,2.015385963285444,0.4961828742569086,4.852185648839537,249933,0.004307637068687846,0.004219867246471002,0.9796246014189911,8.023743497525268e-07,0.00085743214276622,8.294716483979232e-08,0.03905638295150736
120000,15.833333333333336,0.01544365388082284,0.0311812182435949,2.0190311492485717,0.49528705902936304,4.826141837757137,249821,0.004408235134207083,0.0043167654017657875,0.9792502601026185,-4.041929388376127e-07,0.0008521502243021713,1.2777452479636652e-07,0.03890304518400632
130000,17.15277777777778,0.015436714770629325,0.031229515964685654,2.0230675003534113,0.4942988802031119,4.823973365821664,250172,0.004517756088778364,0.0044360444917465915,0.9819132340422857,-1.1238214714645224e-06,0.0008533397056659566,1.3029236428061215e-07,0.038947873350000314
140000,18.47222222222222,0.015376291087717833,0.031045621283079063,2.0190578538069865,0.49528050824025366,4.805090964911822,250658,0.0046173043248271504,0.004535194042688211,0.9822168355467855,6.900852767843371e-08,0.0008465953828243082,1.4099337613515134e-07,0.038733766826937986
150000,19.791666666666668,0.015388391454575712,0.0309424369710004,2.0107648718410864,0.49732318979910617,4.80887232955491,250168,0.0047194100452387705,0.0046304620630377,0.9811527327889624,1.8570030996431208e-09,0.0008427871001689113,2.574157347594105e-07,0.038636632698288244
160000,21.11111111111111,0.015399488333260668,0.03093570507107053,2.008878762825767,0.4977901197946664,4.812340104143959,249222,0.004816879215395761,0.0047238737316364745,0.9806917550554265,3.0830810527901604e-07,0.0008422264409398412,9.880759459419325e-08,0.038635449237700854
170000,22.430555555555557,0.015301307181163704,0.030913190565715596,2.020297364121316,0.49497663945868087,4.781658494113657,249864,0.004927722904734086,0.004848098409380384,0.9838415233784338,-5.117684289560267e-07,0.0008407702248368862,1.5489434036252147e-07,0.03856384415629745
180000,23.75,0.015297286646733809,0.03089100312750924,2.0193779355049815,0.4952020037546524,4.780402077104315,249973,0.005004144933572541,0.004937548863793817,0.9866918183500373,4.94145922658346e-07,0.0008407925758903992,2.824536932745398e-07,0.03853964645087614
190000,25.069444444444446,0.015247012913913697,0.030722284078928488,2.0149706865462673,0.49628513540017605,4.76469153559803,249683,0.005128791293376648,0.00505257338706896,0.9851392068914723,1.2237905226306614e-07,0.0008350422368323597,2.874321580416554e-08,0.03834579053588535
200000,26.38888888888889,0.015177319782942155,0.030632177178551132,2.0182863388685233,0.495469835345867,4.742912432169423,249823,0.005249587497043606,0.005147096039337036,0.9804762835624151,-1.8979343801814168e-07,0.0008296631724478136,1.5057324592278503e-07,0.03822083707002221
210000,27.708333333333332,0.015136909413047189,0.030629771202211647,2.0235155252901533,0.4941894378876136,4.730284191577247,249676,0.005356149689524946,0.005247863512550707,0.9797828322113523,-1.1712659179537083e-06,0.0008286250298762639,2.5713612150470664e-09,0.03819822590873524
220000,29.027777777777775,0.015122494415991465,0.030615938502306313,2.024529661583549,0.49394188634303277,4.725779504997333,250120,0.005486890436054855,0.0053708219629300825,0.9788462200079527,1.2355881628971645e-06,0.0008290416051264646,1.225356557593845e-07,0.038177185710302056
230000,30.34722222222222,0.015120709099989625,0.030416997927013707,2.0116118712339075,0.49711378934476436,4.725221593746758,249817,0.005583583549370209,0.005502213687723159,0.9854269465250095,-1.837123003094624e-07,0.0008212049518816968,4.187161976129994e-07,0.037977352477008515
240000,31.66666666666667,0.014990640366141101,0.03038616474880107,2.027009120800027,0.49333769134956656,4.684575114419094,250356,0.00567184535601254,0.005596553711966903,0.9867253707885701,-3.381358070100471e-07,0.0008188333092252777,1.487957654347226e-07,0.037881484931871615
250000,32.986111111111114,0.015046483570600218,0.030296451211526104,2.0135236960430585,0.49664178373722767,4.702026115812568,250160,0.005810660546983171,0.005727407014860268,0.9856722774545611,7.257256038877395e-07,0.0008166537716721712,1.0620588060451204e-07,0.037819692996826214
260000,34.30555555555556,0.01508165186940906,0.030263146933971894,2.006620176358552,0.498350416178271,4.713016209190331,249960,0.005901348684522238,0.0058274326103535225,0.987474714998187,1.8572362161379783e-08,0.000815367628961644,3.9250390883421225e-07,0.03780397286867642
270000,35.625,0.014931320802265386,0.030251634146499493,2.0260521187053797,0.49357071852573403,4.6660377507079325,249483,0.006047662416875353,0.005933184912385713,0.9810707846108931,-2.9472905132275406e-07,0.0008141949724681018,7.789026352480025e-08,0.03771729454763219
280000,36.94444444444444,0.014993462198171053,0.030255068216235526,2.0178840494843233,0.4955686131993329,4.685456936928454,249650,0.0061663678868714746,0.006045810468810014,0.9804492011710599,-6.635486839817873e-07,0.0008144954219500424,6.44276511204036e-07,0.03775179931532106
290000,38.26388888888889,0.014886743264631404,0.03002608861814505,2.0169682572199914,0.49579362313728753,4.652107270197313,249941,0.0062973365157245964,0.0061831857411853135,0.9818731658607975,-8.1695940057637e-08,0.0008050486481940034,1.8687040305385082e-07,0.03746946025046076
