step,omega_ci_t,corr_A_deltaB,corr_A_Bmag,corr_A_Jdia,corr_A_rho_i
0,0.0,nan,nan,-0.0008782355213591292,0.0030274493586255253
500,0.06597222222222222,0.001880468443208199,0.0018804684432082003,-0.0015394905884470462,0.005766999662399993
1000,0.13194444444444445,0.0013187034796082373,0.0013187034796082373,-0.0008596810398433963,0.00480989959309038
1500,0.19791666666666669,0.001851614243843741,0.0018516142438437444,0.004132648122438743,0.008646970071422563
2000,0.2638888888888889,0.002436863038655782,0.0024368630386557835,-0.002141628697060797,0.00935412799878826
2500,0.3298611111111111,0.001971831565710818,0.001971831565710814,-0.0008501635994592276,0.006736756540475651
3000,0.39583333333333337,-0.0017016788643980081,-0.0017016788643980042,0.0007684449686251846,0.010923403587756533
3500,0.4618055555555556,9.240513513876366e-05,9.240513513876213e-05,-0.0017139436022700712,0.009890805436182086
4000,0.5277777777777778,0.0001362178653552774,0.00013621786535527604,-0.003579914675645778,0.005048001423820556
4500,0.59375,0.0016599866880409714,0.0016599866880409695,-0.0019679452554054525,0.008575134913428272
5000,0.6597222222222222,0.0030891772048044133,0.0030891772048044124,-0.0023546853190662,0.007601980185055451
5500,0.7256944444444444,0.00200186606805418,0.002001866068054179,0.0013062432885442646,0.007161383194204166
6000,0.7916666666666667,-0.0007495708559739813,-0.0007495708559739755,0.0016725569073594412,0.00813373519243701
6500,0.857638888888889,0.0034952283110995545,0.0034952283110995497,0.001995144148136036,0.009033942285895373
7000,0.9236111111111112,0.0027815934936802227,0.0027815934936802214,-0.002549267199757484,0.006084240927796702
7500,0.9895833333333335,0.0010655361137440213,0.0010655361137440183,0.004502444764065885,0.009732973473543361
8000,1.0555555555555556,0.002219260925701461,0.00221926092570146,-0.004790245222763954,0.008360831793470655
8500,1.121527777777778,0.002059215409655376,0.002059215409655375,0.0007330343059782415,0.009949349182356876
9000,1.1875,0.005773976244857793,0.005773976244857796,0.0021604710257199567,0.006304736457632658
9500,1.2534722222222223,0.0010528591515996549,0.0010528591515996633,-0.00021298780423428072,0.009459739837192834
10000,1.3194444444444444,0.00459627670454106,0.004596276704541064,-0.004692126932003879,0.0073434449148667294
10500,1.3854166666666667,0.00017728704723722697,0.00017728704723722597,-0.0037432866300015346,0.00851139168123607
11000,1.4513888888888888,0.004837771864485319,0.004837771864485324,0.002141653343834434,0.004883669191122973
11500,1.5173611111111112,0.0048508628575752374,0.004850862857575234,0.0060337184993496445,0.005176642103034438
12000,1.5833333333333335,0.002647981241058292,0.0026479812410582933,-0.004478935651294511,0.0045373499976708925
12500,1.6493055555555556,0.001961585442459836,0.001961585442459842,-0.0017142798667781948,0.007332788904915154
13000,1.715277777777778,0.0003762087816508651,0.00037620878165086914,-0.0006545627217183604,0.010331537285087261
13500,1.78125,0.002536595561994282,0.0025365955619942775,0.0016811317287008,0.007175293569856847
14000,1.8472222222222223,0.0004024111630330359,0.000402411163033034,0.0014537907736461733,0.006718275001821008
14500,1.9131944444444446,0.003582998567135858,0.0035829985671358565,-0.0006361471688335953,0.009584261124598916
15000,1.979166666666667,0.0017320442620399573,0.0017320442620399593,1.2058382959834084e-05,0.006304370256068873
15500,2.045138888888889,0.0018348243048904485,0.001834824304890447,-0.002245132458886125,0.008821341911653352
16000,2.111111111111111,0.0013988142696167913,0.0013988142696167898,0.0017590445346758357,0.00601542881639082
16500,2.1770833333333335,-0.0007368734349735936,-0.0007368734349735982,-0.00470922630440925,0.010863077221117543
17000,2.243055555555556,-0.0001118367819381002,-0.00011183678193810082,0.0003219219732627863,0.011639656991369547
17500,2.3090277777777777,-0.0011899851125754771,-0.0011899851125754797,-0.003076068146737042,0.0075359419662919735
18000,2.375,0.0036760446941627284,0.0036760446941627284,-0.00257306163623889,0.0071594840534062254
18500,2.4409722222222223,9.110739956881836e-05,9.110739956881332e-05,0.0008038604226960412,0.008583132704601055
19000,2.5069444444444446,0.003663406881673323,0.0036634068816733226,-0.0036136072315532076,0.005708909334916589
19500,2.572916666666667,0.0019540183392996575,0.001954018339299661,-0.003232840824510517,0.008269354646741727
