step,omega_ci_t,kappa_fit,maxwellian_sigma,kappa_sigma,error_maxwellian,error_kappa,error_tail_maxwellian,error_tail_kappa,suprathermal_fraction
0,0.0,79.99999999999999,0.008951160751053637,0.008994582786895937,0.028796006226417294,0.030965164942512818,nan,nan,8.009515304181367e-06
10000,1.3194444444444444,79.9999999999999,0.00891007802769654,0.008953099477772819,0.02221948059304651,0.023177575412221776,nan,nan,2.406777485398883e-05
20000,2.638888888888889,79.99999999999999,0.008914699009578813,0.00895773135388782,0.02136397167802807,0.024053300632605287,nan,nan,1.2019278923393123e-05
30000,3.958333333333334,79.99999999999953,0.008899256166370346,0.008942400108125149,0.02098938336801274,0.02433976522267418,nan,nan,2.4017773152132577e-05
40000,5.277777777777778,79.99999999999999,0.008929193961313557,0.008972601191604689,0.02698412204537524,0.031665021260271514,nan,nan,1.6000320006400128e-05
50000,6.597222222222222,79.9999999999996,0.00891392506517585,0.008956956655053876,0.02175432100302596,0.02486038322472529,nan,nan,1.5966661610557158e-05
60000,7.916666666666668,79.99999999999999,0.008886470499662189,0.008929571893354941,0.022391046486579556,0.0249692846357193,nan,nan,1.2028145861315479e-05
70000,9.23611111111111,79.99999999999999,0.008852084919122793,0.008894863286791461,0.027498406658493697,0.03127879780940735,nan,nan,1.60147976730499e-05
80000,10.555555555555555,79.99999999999999,0.008862461423310248,0.008905431058303508,0.021068471793497207,0.026047362531930424,nan,nan,2.0003040462150247e-05
90000,11.875,79.99999999998572,0.008873828772190593,0.008916925214040172,0.024533539690479764,0.029964743727689,nan,nan,1.9977784703409807e-05
100000,13.194444444444445,79.99999999999983,0.0088246122024115,0.008867275630011955,0.02578176306114856,0.02868286428009588,nan,nan,2.4039328341166147e-05
110000,14.513888888888888,79.99999999999999,0.008827021487112003,0.008869779397794035,0.019837758817763656,0.02479860753291955,nan,nan,3.200857829898413e-05
120000,15.833333333333336,79.99999999999999,0.008818953009183589,0.008861679524898454,0.023260572312193428,0.028501654391690626,nan,nan,1.6011464208373194e-05
130000,17.15277777777778,79.99999999999999,0.008802451343664447,0.008845200508928844,0.02090064358889764,0.02443380284454394,nan,nan,1.1991749676222758e-05
140000,18.47222222222222,79.99999999999999,0.00880934581284376,0.00885212976493771,0.026121882079450272,0.031229471543172467,nan,nan,1.9947498184777665e-05
150000,19.791666666666668,79.99999999999999,0.008791098200284479,0.008833672335866316,0.02329617902122906,0.026976662175738596,nan,nan,1.1991941415368872e-05
160000,21.11111111111111,79.99999999999999,0.008860527311163333,0.008903872419689648,0.03851254300725891,0.04534363424629512,nan,nan,1.6049947436422144e-05
170000,22.430555555555557,79.99999999997502,0.00876969127115692,0.008812130129792225,0.026004748838347053,0.031349367978788595,nan,nan,1.2006531553164921e-05
180000,23.75,79.99999999989669,0.008794909997721437,0.008837531920007585,0.028364194160001757,0.03311481381373428,nan,nan,8.000864093322078e-06
190000,25.069444444444446,79.99999999999999,0.00878707631740914,0.008829946294115616,0.025117839717283597,0.030745921933149494,nan,nan,3.2040627515689894e-05
200000,26.38888888888889,79.99999999999999,0.008755353911545218,0.008798054539684444,0.026154607433112143,0.03160203221613468,nan,nan,1.2008502019429756e-05
210000,27.708333333333332,79.99999999999972,0.008741731443364034,0.008784519166138413,0.02220109468664739,0.025966147569935878,nan,nan,1.2015572181547284e-05
220000,29.027777777777775,79.99999999999831,0.008752786750972385,0.008795500586127191,0.025045429953834734,0.03026297139764373,nan,nan,3.1984647369262754e-05
230000,30.34722222222222,79.99999999999979,0.008767043955559165,0.008809854462002158,0.02396695225269772,0.031141282690555296,nan,nan,1.2008790434598126e-05
